N,W,timestamp
34.8,-77.6,20190821815369
35.8,-82.1,20190821815369
35.5,-83.5,20190821815369
35.3,-84.7,20190821815369
35.0,-97.9,20190842215357
34.4,-87.7,20190852215341
36.0,-94.1,20190852215341
34.2,-98.1,20190852215341
37.2,-78.5,20190861915340
34.8,-86.4,20190861915340
31.0,-88.3,20190861915340
30.8,-93.4,20190861915340
34.0,-82.4,20190911915334
31.2,-87.4,20190911915334
33.6,-105.75,20191212310263
27.53,-107.4,20191212310263
29.4,-108.6,20191212310263
35.5,-108.35,20191221910267
34.8,-106.5,20191232310278
35.6,-108.4,20191232310278
44.2,-123.25,20191232310278
43.0,-122.8,20191242310284
31.35,-84.65,20191262010295
47.3,-117.5,20191262310295
22.65,-101.4,20191272110299
20.83,-101.8,20191272110299
31.3,-87.6,20191272110299
23.55,-101.9,20191282310304
22.6,-104.5,20191302110314
24.25,-105.2,20191302110314
20.5,-105.8,20191302110314
24.2,-106.2,20191302110314
21.33,-104.85,20191321510325
20.43,-105.26,20191321510325
22.2,-104.0,20191341910331
22.62,-104.2,20191341910331
23.06,-104.43,20191341910331
24.3,-104.74,20191341910331
24.1,-105.8,20191341910331
39.71,-99.28,20191341910331
51.6,-99.4,20191341910331
32.54,-87.37,20191352210336
26.08,-101.6,20191382310358
23.7,-101.9,20191382310358
32.7,-87.6,20191382310358
24.32,-104.9,20191392110363
22.3,-105.0,20191392110363
26.2,-107.8,20191392110363
61.3,-120.45,20191392110363
57.96,-117.27,20191402110369
59.65,-121.0,20191402110369
27.35,-83.5,20191442010388
48.74,-104.85,20191482110419
32.4,-89.1,20191482110419
25.4,-105.5,20191492110426
30.63,-108.54,20191492110426
57.18,-118.13,20191492110426
27.5,-81.2,20191492110426
30.3,-83.0,20191492110426
46.45,-87.95,20191502110435
37.7,-97.9,20191512110443
46.8,-105.0,20191521710447
45.25,-99.81,20191521710447
45.06,-98.6,20191531410454
44.6,-124.2,20191542310457
35.5,-112.0,20191582110485
48.0,-82.3,20191582110485
28.8,-108.5,20191592210493
36.6,-111.7,20191592210493
36.2,-111.7,20191652210532
31.2,-110.8,20191662310539
34.6,-111.5,20191662310539
63.45,-111.55,20191682110555
36.1,-111.8,20191682110555
56.95,-115.0,20191682110555
31.4,-110.9,20191702310566
30.24,-109.0,20191712310573
31.2,-110.9,20191712310573
36.1,-112.1,20191712310573
30.9,-110.9,20191722110580
35.0,-111.8,20191722110580
36.2,-10.7,20191742310594
29.76,-106.8,20191742310594
30.05,-109.1,20191742310594
35.0,-112.0,20191742310594
37.0,-112.5,20191742310594
34.1,-106.06,20191802210263
37.8,-120.6,20191802210263
35.4,-110.0,20191852310295
35.45,-112.6,20191852310295
52.28,-96.9,20191862010304
50.52,-100.0,20191872010315
50.3,-90.61,20191872010315
35.75,-112.6,20191972310389
34.25,-117.0,20191972310389
45.2,-115.5,20192002310410
44.9,-113.4,20192052310435
44.8,-115.2,20192052310435
48.2,-121.05,20192052310435
47.8,-123.55,20192062210442
30.8,-100.5,20192072210448
47.8,-114.8,20192072210448
45.3,-124.3,20192072210448
43.6,-124.9,20192082310454
43.7,-125.2,20192091510461
47.2,-121.2,20192112110477
36.55,-122.0,20192112110477
43.7,-123.98,20192112110477
45.55,-123.7,20192122310488
48.0,-108.5,20192151810518
48.26,-119.5,20192151810518
49.2,-120.06,20192162310527
47.7,-112.17,20192191910541
49.4,-119.75,20192191910541
49.7,-118.0,20192201410548
32.8,-89.6,20192272310589
38.4,-96.8,20192272310589
36.87,-112.7,20192282110595
37.73,-113.5,20192292211000
38.5,-119.2,20192292211000
31.53,-101.16,20192302310191
45.9,-117.9,20192302310191
38.36,-113.5,20192322210203
36.28,-113.4,20192332310210
37.0,-112.5,20192362110219
33.04,-101.45,20192372310210
35.75,-107.8,20192372310210
37.7,-112.9,20192372310210
45.3,-115.5,20192372310210
42.0,-117.0,20192372310210
45.4,-118.8,20192372310210
47.74,-118.9,20192382310204
42.7,-107.1,20192392110200
44.9,-119.2,20192392110200
37.0,-118.5,20192422210192
38.8,-119.2,20192422210192
33.75,-83.7,20192422210192
33.55,-89.48,20192422210192
37.2,-119.28,20192432310192
38.67,-119.8,20192432310192
