mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_samples,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,mean_test_explained_variance,std_test_explained_variance,rank_test_explained_variance,mean_test_r2,std_test_r2,rank_test_r2,n_features,features,Rh_g_m-2_ranking,month_ranking,DM_kg_m-2_ranking,PDSI_ranking,YYYYMM_ranking,NPP_g_m-2_ranking,popuDensity_ALAND_km2_ranking,BB_g_m-2_ranking,C_g_m-2_ranking,ALAND_ATOTAL_ratio_ranking,pm25_ug_m-3_ranking,temp_F_ranking,SP01_ranking,median_inc_ranking,precip_in_ranking,1,2,3,4,5,6,smallf_frac_ranking,GEOID_ranking,7,8
4.3508854627609255,0.140390337570205,0.12668366432189943,0.018495206207952575,0.1,2,4,5,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 5}",-0.7009180250351263,0.002626074260292933,2,-1.2078831920264819,0.022956497227289097,2,0.4097950697967477,0.006066614455907365,2,0.40963206094234106,0.0060175325357466015,2,10,"['Rh_g_m-2', 'month', 'PDSI', 'YYYYMM', 'NPP_g_m-2', 'popuDensity_ALAND_km2', 'pm25_ug_m-3', 'temp_F', 'SP01', 'median_inc']",1,1,6,1,1.0,1,1,5,4,2,1,1,1,1.0,3,0.4097940715622995,0.4090042657170597,0.4086702197476577,0.4052868453192424,0.4061452255097497,0.40606928191496766,,,,
3.553083968162537,0.10630295853899323,0.12196600437164307,0.01860092932714197,0.1,2,4,5,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 5}",-0.534288501244627,0.004153514617118808,1,-0.8980032878357165,0.027880552258023085,1,0.5612166840198346,0.009805520009248383,1,0.5611355994133045,0.009822202792854139,1,8,"['NPP_g_m-2', 'popuDensity_ALAND_km2', 'pm25_ug_m-3', 'month', 'SP01', 'temp_F', 'PDSI', 'GEOID']",2,1,7,1,,1,1,8,6,4,1,1,1,,3,0.560783925822036,0.5569214849882691,0.5546749549090507,0.5512849189171201,0.5490108253017001,0.5479738778713427,5.0,1.0,0.5478021609333202,0.548102297214047
