mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_samples,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,mean_test_r2,std_test_r2,rank_test_r2
100.0233357,0.936789271,3.600653672,0.132155343,0.1,2,2,170,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 170}",-0.999694754,0.004613124,1,-2.183909135,0.088425479,1,0.180424027,0.00753005,1
99.44148924,1.020567144,3.51820159,0.059921681,0.1,2,4,170,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 170}",-0.999694754,0.004613124,1,-2.183909135,0.088425479,1,0.180424027,0.00753005,1
104.7503504,1.323797429,3.879349422,0.177629487,0.1,1,4,170,"{'max_samples': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 170}",-1.003627571,0.004512502,10,-2.188013266,0.087894165,3,0.17887492,0.007361367,3
110.4551397,2.253877111,4.647296906,0.199556766,0.1,1,2,170,"{'max_samples': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 170}",-1.004401476,0.004478625,12,-2.188471334,0.087851841,4,0.178701997,0.00738126,4
95.22821331,0.674581738,2.749741554,0.073321857,0.1,2,10,170,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 170}",-1.000892716,0.004636045,6,-2.189339695,0.088558145,5,0.178385244,0.007477478,5
90.8436084,0.807760403,2.518807316,0.03787116,0.1,5,2,170,"{'max_samples': 0.1, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 170}",-1.000652346,0.004480095,3,-2.19122798,0.0884027,6,0.177673331,0.007456268,6
90.89630814,1.268740143,2.514333534,0.053838855,0.1,5,4,170,"{'max_samples': 0.1, 'min_samples_leaf': 5, 'min_samples_split': 4, 'n_estimators': 170}",-1.000652346,0.004480095,3,-2.19122798,0.0884027,6,0.177673331,0.007456268,6
90.87967427,1.403711624,2.562511873,0.051524477,0.1,5,10,170,"{'max_samples': 0.1, 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 170}",-1.000652346,0.004480095,3,-2.19122798,0.0884027,6,0.177673331,0.007456268,6
97.74818013,0.911125055,2.942479563,0.061787538,0.1,1,10,170,"{'max_samples': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 170}",-1.003623215,0.004479733,9,-2.19203121,0.088229457,9,0.177369447,0.007385231,9
80.08904989,0.877447223,3.226350808,0.074431994,0.08,2,2,170,"{'max_samples': 0.08, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 170}",-1.003301398,0.004727054,7,-2.192394025,0.087808644,10,0.177228416,0.007338513,10
79.85102642,0.931678146,3.273404455,0.035952986,0.08,2,4,170,"{'max_samples': 0.08, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 170}",-1.003301398,0.004727054,7,-2.192394025,0.087808644,10,0.177228416,0.007338513,10
82.86153362,1.472108444,3.536582255,0.093188023,0.08,1,4,170,"{'max_samples': 0.08, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 170}",-1.007107688,0.004466281,23,-2.195985758,0.086895151,12,0.175868667,0.006942556,12
87.00393548,1.075385062,4.244961333,0.110719746,0.08,1,2,170,"{'max_samples': 0.08, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 170}",-1.007881832,0.004466371,25,-2.196441883,0.086991519,13,0.175697824,0.007025072,13
