mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_samples,param_min_impurity_decrease,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,mean_test_r2,std_test_r2,rank_test_r2
129.7846905231476,3.1063674838250446,4.012101244926453,0.18169361059773181,0.1,0.0,2,4,170,"{'max_samples': 0.1, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 170}",-0.8504519130080661,0.004286962726128675,3,-1.7486276927640922,0.08699128141389727,24,0.34395295951995736,0.011717989322091952,23
119.87570431232453,1.7683235225126483,3.753745746612549,0.07469733844858444,0.1,2e-08,2,4,170,"{'max_samples': 0.1, 'min_impurity_decrease': 2e-08, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 170}",-0.8504869177486448,0.004315832314629269,18,-1.7486045126449379,0.08699258760854874,15,0.3439615296972297,0.011724289243322767,14
119.86359875202179,1.620577049211557,4.133788514137268,0.14700071147035068,0.1,4e-08,2,4,170,"{'max_samples': 0.1, 'min_impurity_decrease': 4e-08, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 170}",-0.8505027356663876,0.004338146606664721,24,-1.7486441368437198,0.08698952970516646,26,0.3439465954642181,0.01172132623262164,27
119.6613608121872,1.014641681899018,4.023138499259948,0.11918093316022851,0.1,6e-08,2,4,170,"{'max_samples': 0.1, 'min_impurity_decrease': 6e-08, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 170}",-0.8505056879534958,0.004283124560382999,28,-1.7486222863210235,0.0869189308542794,21,0.3439543536981804,0.011682888724617476,22
124.3665804386139,2.912087096024557,4.31254403591156,0.25238134620793223,0.1,8e-08,2,4,170,"{'max_samples': 0.1, 'min_impurity_decrease': 8e-08, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 170}",-0.8504695388093604,0.0042938427113435465,10,-1.7485654313256334,0.08709495491669873,6,0.34397778448409577,0.011739600580199233,5
118.8153439283371,1.3547853408766524,4.001424407958984,0.11455296226071432,0.1,1.2e-07,2,4,170,"{'max_samples': 0.1, 'min_impurity_decrease': 1.2e-07, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 170}",-0.8505218230551188,0.004317438751025531,44,-1.7487947838797306,0.08698434681704253,78,0.3438902459133666,0.011704663257162497,78
119.82879140377045,1.286122854431285,4.027126574516297,0.13127649621329202,0.1,1.4e-07,2,4,170,"{'max_samples': 0.1, 'min_impurity_decrease': 1.4e-07, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 170}",-0.850461872282857,0.004321534587137556,6,-1.7485837531022284,0.08701753615160923,11,0.3439700014829662,0.011713687336103014,11
119.47630412578583,1.7396462764192113,4.06060049533844,0.11841743619958008,0.1,1.6e-07,2,4,170,"{'max_samples': 0.1, 'min_impurity_decrease': 1.6e-07, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 170}",-0.8504492853921855,0.004286448128797933,2,-1.7486451286264106,0.08703182053652786,27,0.3439468496990255,0.011730137980334237,26
119.48750667572021,1.5476642962952514,3.976454019546509,0.16416700711993382,0.1,1.8e-07,2,4,170,"{'max_samples': 0.1, 'min_impurity_decrease': 1.8e-07, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 170}",-0.8504276992898723,0.004305356822505974,1,-1.7484698401490597,0.08713765073170039,1,0.34401392786596496,0.01176520951897371,1
118.80635287761689,1.8494044384365267,3.919512724876404,0.11935489151381219,0.1,2e-07,2,4,170,"{'max_samples': 0.1, 'min_impurity_decrease': 2e-07, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 170}",-0.850463219665832,0.004310682046264918,7,-1.7486059144762507,0.08693380341881429,16,0.3439605841602881,0.011692361455948335,16
119.29869868755341,1.9821332075058542,3.9589205503463747,0.09064556322496976,0.1,2.2e-07,2,4,170,"{'max_samples': 0.1, 'min_impurity_decrease': 2.2e-07, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 170}",-0.8504703580220913,0.00427402935299602,11,-1.7486452844094373,0.08696794569712549,28,0.3439461169681342,0.011705864104202041,28
118.8886899471283,1.197605037065282,3.988504934310913,0.1406568628955325,0.1,2.4e-07,2,4,170,"{'max_samples': 0.1, 'min_impurity_decrease': 2.4e-07, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 170}",-0.850482159589613,0.004294486685894818,16,-1.748662022910222,0.08692289657350862,33,0.34393934390921055,0.011684787420666021,34
118.75051765441894,1.644556640986965,3.9823740243911745,0.12637960509580645,0.1,2.6e-07,2,4,170,"{'max_samples': 0.1, 'min_impurity_decrease': 2.6e-07, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 170}",-0.8505193252271417,0.004331062314810068,40,-1.748773060617309,0.08691940144110803,73,0.34389739761688254,0.011695364688117839,74
118.82114131450653,1.509091572844713,3.989083695411682,0.09548361380008089,0.1,2.8e-07,2,4,170,"{'max_samples': 0.1, 'min_impurity_decrease': 2.8e-07, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 170}",-0.850480954764081,0.004318158355303373,15,-1.7486903333870494,0.08692222890704379,45,0.34392842304435767,0.011698142925681661,45
