mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_samples,param_min_samples_leaf,param_n_estimators,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,mean_test_r2,std_test_r2,rank_test_r2
30.304076957702637,2.8833196443633704,1.3534285306930542,0.09523991509950973,,0.1,1,40,-1.019988672696302,0.0032942951818388045,25,-2.2406996664572487,0.06638439232402245,25,0.15898807332711903,0.005248830383804426,25
39.172485899925235,0.4923260769694614,2.005517101287842,0.1470028983838,,0.1,1,60,-1.0145736441024733,0.003145427789278815,24,-2.2206075762852846,0.06633703934632458,23,0.16653580180330305,0.005152204973641022,23
52.97750897407532,0.8885060636911154,2.4318859338760377,0.08876717845899636,,0.1,1,80,-1.012065636649684,0.003005552776628975,22,-2.209806962145323,0.06635561296489173,19,0.17059349892464906,0.0050757849141760646,19
65.04307892322541,0.9281226950844218,3.1560081958770754,0.15852918729421878,,0.1,1,100,-1.010356772200833,0.0031834519564724983,21,-2.2033890593876535,0.06611760914289228,14,0.17300163638251637,0.005079275675180908,14
77.54086947441101,1.1673543168069673,3.798700785636902,0.13030548248014612,,0.1,1,120,-1.009058325212556,0.0031332961363586555,17,-2.1988238106551328,0.06621518391464047,8,0.17471743530806014,0.005132842613135155,8
24.16071195602417,0.4390949746999638,0.9189470052719116,0.07014762003188466,,0.1,2,40,-1.0129541575855412,0.0035020476661395366,23,-2.224041033537959,0.06643434031978218,24,0.16524717663489102,0.005097873241092272,24
35.81995935440064,0.9893292242984121,1.3777406692504883,0.10458449290764597,,0.1,2,60,-1.0085814521300687,0.0033270811571564107,16,-2.20849764085834,0.06599807273732348,18,0.17108236038925498,0.004956288900200981,18
47.63092234134674,0.7117707236571673,1.689670777320862,0.04855896562363245,,0.1,2,80,-1.0064543472646295,0.0031976635976982905,12,-2.2000617146554506,0.06583425062073436,10,0.17424956566146718,0.004929822791749152,10
59.56704347133636,1.6475135039234474,2.1417994022369387,0.0882009177917717,,0.1,2,100,-1.0050506201123908,0.0032966300488143346,8,-2.1950028895356533,0.06587708933517561,3,0.17615059000385513,0.004901254133622479,3
71.4897217988968,1.171592896895175,2.5761558294296263,0.1090029664886712,,0.1,2,120,-1.004062441244096,0.0033761299891855246,4,-2.1917918154533362,0.06624967341580586,1,0.17735990632286894,0.00506013248349883,1
23.080774855613708,0.46082097435714037,0.759483814239502,0.028841065250609445,,0.1,3,40,-1.010320472839628,0.0040293506798292165,20,-2.2194099286814284,0.06669928247588867,22,0.16699105476064718,0.00492953610327292,22
34.80770788192749,0.6161911688714137,1.1381669998168946,0.043381237225701606,,0.1,3,60,-1.0066116412384525,0.003826528491783804,14,-2.206253943103299,0.06616010317840412,15,0.17192799159371802,0.004803744666666683,15
45.903754353523254,0.7986275134884707,1.4727742671966553,0.05375844056956176,,0.1,3,80,-1.0049110372053855,0.0035163460664246397,7,-2.19929438447259,0.06572454260125293,9,0.17453771919499866,0.004745333144130073,9
62.41233158111572,2.103548024347182,1.8529387712478638,0.05452816990719426,,0.1,3,100,-1.003841870155737,0.0035746218377967153,3,-2.195222618132566,0.06575007543147358,4,0.17606718418922995,0.0048008706654346055,4
68.54304118156433,1.1784340947420495,2.165533685684204,0.0602274908013042,,0.1,3,120,-1.0029971782250116,0.0036528343432184153,1,-2.1923928308114116,0.06599543268350343,2,0.177132302747963,0.0049024885764732936,2
22.523808240890503,0.6767145856363951,0.6807822942733764,0.02342192722278864,,0.1,4,40,-1.0096366175791882,0.0039940802260821145,18,-2.217201981341978,0.0668576225930561,21,0.167821787915741,0.004981808360850359,21
33.4839567899704,1.112721596864167,1.0331469774246216,0.054533347131579146,,0.1,4,60,-1.0065946252576268,0.003865077735493061,13,-2.2066148235464373,0.06653402621121428,16,0.17179596521256763,0.004897280488643518,16
44.396336030960086,0.6144920339996982,1.3598824262619018,0.044124614146876594,,0.1,4,80,-1.005258266413034,0.0036154778311103023,10,-2.2009241552447816,0.06637627233714243,12,0.17393196504367273,0.004883965068831466,12
55.29029626846314,1.0629500515991575,1.7073593854904174,0.07178436554066245,,0.1,4,100,-1.0043947634032242,0.003613466263763849,5,-2.197685156162198,0.06618205030901456,6,0.1751464326245494,0.004889385678488083,6
66.56755819320679,1.4837326543422984,2.0409697771072386,0.1155373126901297,,0.1,4,120,-1.0036162288299786,0.003703233922183229,2,-2.195297222043062,0.06660124536794951,5,0.17604720786080227,0.00504566055714268,5
21.909828782081604,0.5349632949982498,0.6579437971115112,0.03497957752717253,,0.1,5,40,-1.0097054257947946,0.0038119950963850318,19,-2.216699546823436,0.06694149178895861,20,0.16801151488031002,0.004980229953332245,20
32.882809901237486,0.6586625430551016,0.9673167943954468,0.035692994577499366,,0.1,5,60,-1.0071440788441464,0.003823256218299105,15,-2.2076537432276555,0.06689153565499142,17,0.17140906408670206,0.005002847394010172,17
43.78247973918915,0.9141355452643238,1.2453879833221435,0.024280374781539906,,0.1,5,80,-1.0060110879809128,0.0036290611170737347,11,-2.2031037380419125,0.0666123119708044,13,0.17311529606113085,0.004970968927566863,13
55.29844484329224,1.4458983106366585,1.5203591346740724,0.05550645953181453,,0.1,5,100,-1.0051481979422467,0.003615509965126538,9,-2.200137685412275,0.06657472823479033,11,0.17422888569724954,0.004989100865239643,11
64.55622799396515,0.7988236628908274,1.7154256343841552,0.14803155532536463,,0.1,5,120,-1.0044935964544446,0.0036976144039902914,6,-2.197924574666252,0.0668100777155735,7,0.1750624038875656,0.005080869413431494,7
