mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_samples,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,mean_test_max_error,std_test_max_error,rank_test_max_error,mean_test_neg_mean_absolute_percentage_error,std_test_neg_mean_absolute_percentage_error,rank_test_neg_mean_absolute_percentage_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,mean_test_explained_variance,std_test_explained_variance,rank_test_explained_variance,mean_test_r2,std_test_r2,rank_test_r2,test_set_r2,rank_test_set_r2,n_features,features
63.50031435,0.501911267,1.757463408,0.145591412,0.1,2,4,140,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 140}",-27.57749784,6.125074673,2,-0.07435199,0.000628294,1,-0.324078464,0.002154967,1,-0.595309955,0.025206242,1,0.70578318,0.007667189,1,0.705722817,0.007654288,1,0.711456929,1,8,"['GEOID', 'STATEFP', 'popuDensity_ALAND_km2', 'months_from_start', 'month', 'temp_F_1m_lag', 'temp_F_2m_lag', 'NPP_g_m-2_1m_lag']"
70.29160054,1.041710889,1.780640936,0.158303679,0.1,2,4,140,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 140}",-27.54703815,6.114367876,1,-0.075234069,0.000657543,2,-0.327444624,0.002367474,2,-0.600380671,0.025518908,2,0.703278981,0.00777318,2,0.703216918,0.007763373,2,0.709266537,2,9,"['GEOID', 'STATEFP', 'popuDensity_ALAND_km2', 'months_from_start', 'month', 'temp_F_1m_lag', 'temp_F_2m_lag', 'NPP_g_m-2_1m_lag', 'temp_F']"
76.315676,1.710998716,1.735372019,0.143690668,0.1,2,4,140,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 140}",-27.63737925,6.121613694,7,-0.076777058,0.000696842,3,-0.333819469,0.002443773,3,-0.605825683,0.024815206,3,0.70058471,0.007462008,3,0.700515931,0.007452362,3,0.706445499,3,9,"['GEOID', 'STATEFP', 'popuDensity_ALAND_km2', 'months_from_start', 'month', 'temp_F_1m_lag', 'temp_F_2m_lag', 'NPP_g_m-2_1m_lag', 'pm25_ug_m-3_1m_lag']"
92.08089921,0.82422411,1.74048605,0.186659809,0.1,2,4,140,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 140}",-27.60810572,6.102149563,6,-0.079849491,0.000717716,6,-0.346507216,0.002455763,7,-0.608557609,0.025096899,4,0.699237838,0.007577972,4,0.699166622,0.007568449,4,0.704794627,4,11,"['GEOID', 'STATEFP', 'popuDensity_ALAND_km2', 'months_from_start', 'month', 'temp_F_1m_lag', 'temp_F_2m_lag', 'NPP_g_m-2_1m_lag', 'temp_F', 'pm25_ug_m-3_1m_lag', 'median_inc']"
80.45155258,0.93077159,1.746871662,0.186670256,0.1,2,4,140,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 140}",-27.60080006,6.100659009,4,-0.077376015,0.000712292,4,-0.336030153,0.002382491,4,-0.609766911,0.025322396,5,0.6986418,0.007666959,5,0.698570546,0.0076588,5,0.704617788,5,10,"['GEOID', 'STATEFP', 'popuDensity_ALAND_km2', 'months_from_start', 'month', 'temp_F_1m_lag', 'temp_F_2m_lag', 'NPP_g_m-2_1m_lag', 'temp_F', 'pm25_ug_m-3_1m_lag']"
103.1185736,0.810667547,1.759712148,0.156590197,0.1,2,4,140,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 140}",-27.59012591,6.062138499,3,-0.079877457,0.000786931,7,-0.346057607,0.002567899,6,-0.610044716,0.024863228,6,0.698510684,0.007541293,6,0.698426795,0.007532026,6,0.704068436,6,12,"['GEOID', 'STATEFP', 'popuDensity_ALAND_km2', 'months_from_start', 'month', 'temp_F_1m_lag', 'temp_F_2m_lag', 'NPP_g_m-2_1m_lag', 'temp_F', 'pm25_ug_m-3_1m_lag', 'SP01_1m_lag', 'median_inc']"
93.9726372,1.909835266,1.824221897,0.163073733,0.1,2,4,140,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 140}",-27.60620362,6.07482578,5,-0.077612693,0.000742762,5,-0.336479753,0.00243112,5,-0.612483817,0.025006118,7,0.697305139,0.007515195,7,0.697223425,0.007506322,7,0.703417204,7,11,"['GEOID', 'STATEFP', 'popuDensity_ALAND_km2', 'months_from_start', 'month', 'temp_F_1m_lag', 'temp_F_2m_lag', 'NPP_g_m-2_1m_lag', 'temp_F', 'pm25_ug_m-3_1m_lag', 'SP01_1m_lag']"
