vars,NPP_g_m-2,NPP_g_m-2_1m_lag,PDSI,PDSI_1m_lag,Rh_g_m-2,Rh_g_m-2_1m_lag,SP01,SP01_1m_lag,pm25_ug_m-3,pm25_ug_m-3_1m_lag,temp_F,temp_F_1m_lag,median_inc,month,months_from_start,popuDensity_ALAND_km2
NPP_g_m-2,1.0,0.8521006945824927,-0.023916573059199565,-0.024241384419824066,0.8666350484437719,0.7122866941941007,-0.00735156967807268,0.02102059586424636,0.36330039300747524,0.3258358267731367,0.8705739231319447,0.6976942103452836,-0.070308455240089,0.09534661212325048,0.002246222866149908,0.1467863848952877
NPP_g_m-2_1m_lag,0.8521006945824927,0.9999999999999999,-0.006310161894257213,-0.018111102072625535,0.8195137505689163,0.8670527514997628,0.01742865967913701,-0.0030304658150927337,0.3290879914862816,0.357486264237435,0.8194699361200889,0.8703869553276575,-0.06899458951684607,0.4283119791016904,0.022648919624570083,0.1475758584383253
PDSI,-0.023916573059199565,-0.006310161894257214,1.0,0.9011308534845593,0.050155937333378524,0.0594678013337744,0.48100866633708633,0.40712955971383574,-0.03228188892384488,-0.01527166250531116,-0.0913352245088896,-0.06951967426044227,0.09301144370539625,0.04075304774654094,0.10286925689442553,0.04083968061332247
PDSI_1m_lag,-0.024241384419824066,-0.018111102072625535,0.9011308534845593,1.0,0.036324782528650394,0.05482812655552082,0.1862516890123381,0.47969415027291096,-0.005459708862971813,-0.03322719655724361,-0.09327348635654392,-0.08561233661356711,0.09590532823451135,0.017324493233181543,0.11042678366350736,0.04246465315400762
Rh_g_m-2,0.8666350484437719,0.8195137505689163,0.05015593733337852,0.036324782528650394,0.9999999999999999,0.9037943973175747,0.052478961833774825,0.03450057928365985,0.4673885154486148,0.4563681696758237,0.7531554036210403,0.6576132145363955,-0.09032339363583045,0.16140803298374473,0.011986187524500362,0.2930318666194443
Rh_g_m-2_1m_lag,0.7122866941941007,0.8670527514997628,0.0594678013337744,0.05482812655552082,0.9037943973175747,0.9999999999999999,0.02403120503260281,0.05466391968515177,0.4275077699271711,0.4632555052820115,0.6557434735354112,0.7532514136816313,-0.0894317914349044,0.3844613052735495,0.025831787226533502,0.2931040814429719
SP01,-0.00735156967807268,0.01742865967913701,0.48100866633708633,0.1862516890123381,0.052478961833774825,0.024031205032602813,1.0,0.059238333981796176,-0.09268285007291151,0.012630020092720927,-0.014312035431949812,0.01051612212105633,0.031658534247081614,0.07825516398595536,0.040295104376199896,0.012104588949757833
SP01_1m_lag,0.02102059586424636,-0.0030304658150927337,0.40712955971383574,0.4796941502729109,0.03450057928365985,0.054663919685151774,0.05923833398179618,1.0,-0.021070251374293972,-0.09190457723011394,-0.028113755206216454,-0.009429777470012252,0.031918181905520884,0.026549591363389132,0.03767970267870238,0.015098822961222313
pm25_ug_m-3,0.36330039300747524,0.3290879914862816,-0.03228188892384488,-0.0054597088629718135,0.4673885154486148,0.42750776992717116,-0.0926828500729115,-0.02107025137429397,1.0,0.7113763573247592,0.3915479659761869,0.3103817502645669,-0.10067540110908388,-0.03453869851429694,-0.26309060134922374,0.41713777103007094
pm25_ug_m-3_1m_lag,0.32583582677313666,0.35748626423743507,-0.01527166250531116,-0.033227196557243606,0.4563681696758237,0.4632555052820115,0.012630020092720927,-0.09190457723011393,0.7113763573247592,1.0,0.36854736225185236,0.38580958226780815,-0.10105511613536779,0.08907837630613402,-0.25764824788931995,0.41747728141644275
temp_F,0.8705739231319447,0.8194699361200889,-0.09133522450888962,-0.09327348635654392,0.7531554036210403,0.6557434735354113,-0.014312035431949813,-0.028113755206216454,0.39154796597618696,0.36854736225185236,1.0,0.8676392152992539,-0.10998998146801199,0.18641706892108426,0.012368386317335195,0.08643920719955259
temp_F_1m_lag,0.6976942103452836,0.8703869553276575,-0.06951967426044228,-0.08561233661356711,0.6576132145363954,0.7532514136816313,0.01051612212105633,-0.009429777470012252,0.3103817502645669,0.38580958226780815,0.8676392152992538,1.0,-0.10904777475730693,0.4982121141011198,0.03135689955182799,0.08646841695776936
median_inc,-0.070308455240089,-0.06899458951684607,0.09301144370539624,0.09590532823451135,-0.09032339363583045,-0.0894317914349044,0.031658534247081614,0.031918181905520884,-0.10067540110908388,-0.1010551161353678,-0.109989981468012,-0.10904777475730693,1.0,-0.004595595461919175,0.4071574837375681,0.3654419992378799
month,0.09534661212325048,0.42831197910169044,0.040753047746540934,0.01732449323318154,0.16140803298374473,0.3844613052735495,0.07825516398595535,0.026549591363389132,-0.03453869851429694,0.08907837630613402,0.18641706892108428,0.4982121141011199,-0.004595595461919175,1.0,0.04654893568541037,0.00033483343743828024
months_from_start,0.002246222866149908,0.022648919624570083,0.10286925689442553,0.11042678366350737,0.011986187524500362,0.025831787226533502,0.040295104376199896,0.03767970267870238,-0.2630906013492238,-0.25764824788931995,0.012368386317335195,0.03135689955182799,0.4071574837375681,0.04654893568541037,0.9999999999999999,0.00929283506670476
popuDensity_ALAND_km2,0.14678638489528767,0.14757585843832532,0.04083968061332247,0.04246465315400762,0.2930318666194443,0.2931040814429719,0.012104588949757833,0.015098822961222313,0.41713777103007094,0.4174772814164428,0.08643920719955259,0.08646841695776936,0.3654419992378799,0.0003348334374382803,0.009292835066704763,1.0
