mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_samples,param_min_impurity_decrease,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,mean_test_max_error,std_test_max_error,rank_test_max_error,mean_test_neg_mean_absolute_percentage_error,std_test_neg_mean_absolute_percentage_error,rank_test_neg_mean_absolute_percentage_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,mean_test_explained_variance,std_test_explained_variance,rank_test_explained_variance,mean_test_r2,std_test_r2,rank_test_r2,test_set_r2,rank_test_set_r2,n_features,features
194.8986621,1.749080199,2.290060544,0.03851783,0.4,3.68E-07,1,2,140,"{'max_samples': 0.4, 'min_impurity_decrease': 3.68e-07, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 140}",-27.38048833,6.189208158,5,-0.047033023,0.000507351,6,-0.215533437,0.001803957,6,-0.508507038,0.022450545,1,0.748709286,0.007220214,1,0.748632999,0.007207647,1,0.749882129,1,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
235.9239748,2.019616823,2.262619042,0.064523053,0.5,3.68E-07,1,2,140,"{'max_samples': 0.5, 'min_impurity_decrease': 3.68e-07, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 140}",-27.38126428,6.190592679,6,-0.045475834,0.000516951,5,-0.209498476,0.001883165,5,-0.5100129,0.022534989,2,0.747961268,0.007233478,2,0.747888818,0.007222981,2,0.749256039,2,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
147.0006652,1.853070594,2.190166807,0.101164315,0.3,3.68E-07,1,2,140,"{'max_samples': 0.3, 'min_impurity_decrease': 3.68e-07, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 140}",-27.38532096,6.184054829,7,-0.049714581,0.000484702,7,-0.226106386,0.001826289,7,-0.511337079,0.022577243,3,0.747318118,0.007206113,3,0.747235818,0.007193797,3,0.749132009,3,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
277.7604752,6.874611551,2.638976073,0.384728865,0.6,3.68E-07,1,2,140,"{'max_samples': 0.6, 'min_impurity_decrease': 3.68e-07, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 140}",-27.37327041,6.181345509,4,-0.044556,0.000519392,4,-0.2059308,0.001935131,4,-0.512564479,0.022431387,4,0.746696051,0.007207802,4,0.746624463,0.007199486,4,0.747368979,4,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
382.1293912,12.97214165,2.955114317,0.185362271,0.7,3.68E-07,1,2,140,"{'max_samples': 0.7, 'min_impurity_decrease': 3.68e-07, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 140}",-27.36405626,6.1761771,3,-0.043870468,0.00057252,3,-0.20333693,0.002215339,3,-0.516886494,0.022604707,5,0.744550209,0.007452787,5,0.744482241,0.007444047,5,0.744671205,5,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
432.3760527,4.635331457,2.799680138,0.144078915,0.8,3.68E-07,1,2,140,"{'max_samples': 0.8, 'min_impurity_decrease': 3.68e-07, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 140}",-27.36332664,6.171138842,2,-0.043425365,0.00056103,2,-0.201647747,0.002026233,2,-0.52119213,0.022252097,6,0.742407967,0.007426561,6,0.742344104,0.007420612,6,0.742631473,7,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
100.5863382,1.692030984,2.067006755,0.085157989,0.2,3.68E-07,1,2,140,"{'max_samples': 0.2, 'min_impurity_decrease': 3.68e-07, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 140}",-27.41963849,6.171660963,8,-0.055031555,0.000492959,8,-0.246975684,0.001844133,8,-0.52296848,0.023243243,7,0.74159115,0.007282028,7,0.741492203,0.007268319,7,0.743548899,6,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
467.0156884,8.430190548,3.11257441,0.378805883,0.9,3.68E-07,1,2,140,"{'max_samples': 0.9, 'min_impurity_decrease': 3.68e-07, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 140}",-27.34471896,6.171656689,1,-0.043106805,0.000562695,1,-0.200561479,0.002218999,1,-0.527072858,0.023038168,8,0.739499604,0.007861192,8,0.739437696,0.007856508,8,0.740590857,8,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
49.74637055,1.108947189,1.934653378,0.096664708,0.1,3.68E-07,1,2,140,"{'max_samples': 0.1, 'min_impurity_decrease': 3.68e-07, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 140}",-27.49158038,6.14158282,9,-0.068351146,0.000541289,9,-0.300254257,0.001933987,9,-0.563965735,0.023942371,9,0.721343384,0.007300149,9,0.721217921,0.007279854,9,0.725407061,9,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
