GEOID,ATOTAL,area,error
12055,2866394448,,
12057,3278277828,,
12059,1266626450,,
12061,1597782739,,
12063,2472308850,,
12065,1648623777,,
12067,1419074296,,
12069,2996475025,,
12071,3140030680,,
12073,1817634410,,
12075,3659118050,,
12077,2183681538,,
12079,1853635530,,
12081,2312163744,,
12083,4306275885,,
12085,1950582846,,
12086,6296709992,,
12087,9679384507,,
12089,1880125733,,
12091,2802569395,,
12093,2310050772,,
12095,2598283190,,
12097,3900618296,,
12099,6172370388,,
12101,2249275519,,
12103,1575045225,,
12105,5206943658,,
12107,2141715339,,
12109,2127764852,,
12111,1781500258,,
12113,3040071418,,
12115,1878478602,,
12117,894425097,,
12119,1501741126,,
12121,1792935419,,
12123,3191375307,,
12125,646853963,,
12127,3709996067,,
12129,1905518096,,
12131,3210535348,,
12133,1595314153,,
13001,1326751282,,
13003,892338469,,
13005,740276529,,
13007,904264037,,
13009,694830507,,
13011,605615645,,
13013,421991933,,
13015,1215939112,,
13017,657616498,,
13019,1185910686,,
13021,660203322,,
13023,567547548,,
13025,1158246852,,
13027,1289297033,,
13029,1177035510,,
13031,1783562996,,
13033,2162594718,,
13035,487024423,,
13037,734462972,,
13039,2024988501,,
13043,644539028,,
13045,1304777294,,
13047,420770003,,
13049,2026378884,,
13051,1631625654,,
13053,650502918,,
13055,812083200,,
13057,1125068291,,
13059,313473236,,
13061,562640858,,
13063,373919289,,
13065,2134132455,,
13067,892428743,,
13069,1560856102,,
13071,1441688523,,
13073,796687276,,
13075,603992854,,
13077,1154701614,,
13079,845510968,,
13081,727646047,,
13083,451073151,,
13085,555314912,,
13087,1613997477,,
13089,702301873,,
13091,1303067137,,
13093,1029050538,,
13095,866536312,,
13097,520778565,,
13099,1337329316,,
13101,1089659057,,
13103,1250714003,,
13105,969215470,,
13107,1787568555,,
13109,483990020,,
13111,1016070843,,
13113,516245260,,
13115,1342818574,,
13117,640038389,,
13119,690174129,,
13121,1383923468,,
13123,1116170262,,
13125,374131968,,
13127,1515784880,,
13129,928911858,,
13131,1192078095,,
13133,1052081703,,
13135,1131267097,,
13137,722782262,,
13139,1111880110,,
13141,1237537781,,
13143,733421122,,
13145,1224951687,,
13147,665492049,,
13149,779831096,,
13151,845586899,,
13153,983944314,,
13155,939551379,,
13157,888623044,,
13159,967268399,,
13161,868676859,,
13163,1371830953,,
13165,912901883,,
13167,794071861,,
13169,1024124404,,
13171,481308772,,
13173,517449643,,
13175,2119828514,,
13177,937041695,,
13179,1560538887,,
13181,666398060,,
13183,1045868583,,
13185,1322384138,,
13187,736096138,,
13189,689962735,,
13191,1486378351,,
13193,1051551855,,
13195,739687552,,
13197,951769576,,
13199,1308995037,,
13201,734683118,,
13205,1330797303,,
13207,1031516294,,
13209,633754548,,
13211,918463368,,
13213,897954790,,
13215,572415623,,
13217,723119323,,
13219,482707988,,
13221,1144873365,,
13223,814141238,,
13225,391913249,,
13227,602721691,,
13229,888961161,,
13231,568256450,,
13233,808440347,,
13235,650630563,,
13237,934173640,,
13239,415861371,,
13241,976497822,,
13243,1115956269,,
13245,851030332,,
13247,342131083,,
13249,434660849,,
13251,1698692424,,
13253,664476962,,
13255,516994714,,
13257,477071769,,
13259,1200751539,,
13261,1275857725,,
13263,1022429629,,
13265,505946780,,
13267,1264816921,,
13269,983414630,,
13271,1149977495,,
13273,874647113,,
13275,1430238291,,
13277,696160615,,
13279,960864985,,
13281,444932262,,
13283,524335008,,
13285,1155036013,,
13287,751045853,,
13289,939218328,,
13291,852280089,,
13293,848360281,,
13295,1157817956,,
13297,854695771,,
13299,2351675925,,
13301,742518086,,
13303,1772472975,,
13305,1680376733,,
13307,544579143,,
13309,777691415,,
13311,627441861,,
13313,753827685,,
13315,989673006,,
13317,1227898336,,
13319,1170544674,,
13321,1488609389,,
16001,2746864412,,
16003,3547008779,,
16005,2973412518,,
16007,2718487438,,
16009,2031046111,,
16011,5491374354,,
16013,6876366247,,
16015,4938930729,,
16017,4967940788,,
16019,4921727966,,
16021,3310142650,,
16023,5797733974,,
16025,2793801943,,
16027,1563569331,,
16029,4658457641,,
16031,6684056452,,
16033,4569000931,,
16035,6444005359,,
16037,12790905954,,
16039,8032747763,,
16041,1729364604,,
16043,4911073773,,
16045,1462288116,,
16047,1901405272,,
16049,22024153594,,
16051,2863785646,,
16053,1560538516,,
16055,3390281422,,
16057,2788852994,,
16059,11834020202,,
16061,1242482206,,
16063,3123106090,,
16065,1225897205,,
16067,1974538920,,
16069,2218392728,,
16071,3109264490,,
16073,19934687255,,
16075,1062721391,,
16077,3735097854,,
16079,6844861024,,
16081,1166008445,,
16083,4995276895,,
16085,9669723734,,
16087,3816098381,,
17001,2256580512,,
17003,654206981,,
17005,991535894,,
17007,730544438,,
17009,795972974,,
17011,2262408458,,
17013,734466583,,
17015,1209479227,,
17017,993768132,,
17019,2586008556,,
17021,1853797037,,
17023,1307326261,,
17025,1216087560,,
17027,1303136420,,
17029,1321068149,,
17031,4233683568,,
17033,1154776076,,
17035,898527986,,
17037,1643715903,,
17039,1049170655,,
17041,1080558878,,
17043,871243855,,
17045,1615965727,,
17047,576793671,,
17049,1243180400,,
17051,1878498483,,
17053,1259330723,,
17055,1117506272,,
17057,2286107315,,
17059,849805941,,
17061,1414888804,,
17063,1115072269,,
17065,1128903667,,
17067,2109362062,,
17069,470076391,,
17071,1023634727,,
17073,2138524108,,
17075,2898280874,,
17077,1559751837,,
17079,1290378165,,
17081,1512040791,,
17083,977749122,,
17085,1602175278,,
17087,903088079,,
17089,1357624637,,
17091,1764560325,,
17093,834549293,,
17095,1864265097,,
17097,3543954311,,
17099,2973768848,,
