,station_id,stime,air_data_value,RH,UGRD,VGRD,HPBL,TMP,goes_measurement
312,06-083-2011,2019-01-03 16:00:00,6.0,46.600002,1.5240498,0.12120247,39.14665,279.4944,0.3682817
320,29-189-3001,2019-01-03 16:00:00,5.2,83.200005,0.14904976,0.43370247,180.39665,272.9319,0.14049232
322,31-055-0019,2019-01-03 16:00:00,6.0,67.5,1.5865498,1.1212025,84.396645,273.3694,2.0064232
326,32-031-1007,2019-01-03 16:00:00,8.0,74.4,0.21154976,0.37120247,55.20915,265.5569,-0.05
329,35-001-0026,2019-01-03 16:00:00,7.8,72.5,-0.10095024,-2.1287975,226.33415,265.6194,-0.05
341,44-007-0030,2019-01-03 16:00:00,9.0,82.700005,2.8365498,-1.3162975,424.58414,278.4944,0.7887981
344,48-043-0101,2019-01-03 16:00:00,7.0,43.4,4.2740498,0.68370247,278.52164,279.8694,0.14873774
347,48-323-0004,2019-01-03 16:00:00,12.0,72.1,2.4615498,-4.9412975,247.83415,278.4944,0.17732700000000000
355,06-019-0500,2019-01-03 17:00:00,5.0,58.2,-1.3801003,0.14804935,86.82681,279.52707,0.024362903
357,06-061-0003,2019-01-03 17:00:00,11.0,70.4,-1.2551003,-0.16445065,52.201817,277.90207,-0.016555961
363,06-083-2011,2019-01-03 17:00:00,5.0,45.5,0.80739975,1.0855494,36.826817,285.46457,0.17640229
370,29-189-3001,2019-01-03 17:00:00,7.5,72.6,-0.31760025,0.89804935,257.2643,274.83957,0.12130439
392,44-007-0030,2019-01-03 17:00:00,7.0,71.9,4.3698997,-1.6019506,784.26434,279.96457,0.8549926
393,44-009-0007,2019-01-03 17:00:00,4.0,70.8,5.0573997,-2.8519506,853.38934,280.02707,1.6995703000000000
399,48-323-0004,2019-01-03 17:00:00,6.0,57.100002,2.4948997,-4.2894506,315.8893,280.58957,0.19258489
401,48-479-0313,2019-01-03 17:00:00,4.0,58.0,3.4323997,-5.5394506,411.0768,282.52707,0.31765327
408,06-019-0500,2019-01-03 18:00:00,7.0,58.0,1.0378666,0.63434887,69.341606,280.27094,0.06736238
413,06-073-1201,2019-01-03 18:00:00,10.0,20.2,0.22536659,-3.6781511,291.2166,289.45844,-0.00083572045
416,06-083-2011,2019-01-03 18:00:00,2.0,44.0,1.0378666,1.9468489,215.8416,287.64594,0.07961492
423,29-189-3001,2019-01-03 18:00:00,8.4,62.2,-0.21213341,0.88434887,349.4666,276.33344,0.11976318
425,31-055-0019,2019-01-03 18:00:00,5.0,48.100002,2.1003666,3.1968489,152.9041,279.64594,0.29576820000000000
428,32-031-1005,2019-01-03 18:00:00,10.0,53.100002,-1.0871334,-0.36565113,50.779106,272.33344,0.547215
432,35-001-0026,2019-01-03 18:00:00,5.6000000000000000,58.3,-0.6496334,-1.9281511,334.2166,268.39594,3.9940317
445,44-007-0030,2019-01-03 18:00:00,7.0,61.9,4.5378666,-2.7406511,1087.904,280.52094,0.39610034
446,44-009-0007,2019-01-03 18:00:00,3.0,62.0,4.1628666,-3.2406511,1067.029,280.64594,1.3028654
448,48-043-0101,2019-01-03 18:00:00,10.0,34.100002,1.2253666,1.6343489,683.2791,281.77094,0.112057194
452,48-323-0004,2019-01-03 18:00:00,5.0,45.4,3.7253666,-3.3656511,455.9666,282.64594,0.14318943
454,48-479-0313,2019-01-03 18:00:00,7.0,45.600002,4.2253666,-5.803151,523.9041,285.08344,0.2000597
460,06-011-0007,2019-01-03 19:00:00,21.0,59.8,-1.2344208,0.07143402,124.361984,279.5266,0.039312538
461,06-019-0500,2019-01-03 19:00:00,9.0,56.3,2.2655792,0.25893402,205.42448,282.2141,0.047326785
465,06-073-1201,2019-01-03 19:00:00,8.0,14.900001,1.5155792,-2.241066,679.112,291.2141,-0.02464726
466,06-079-2004,2019-01-03 19:00:00,13.0,48.0,0.015579224,0.633934,221.98698,285.1516,0.0059455596
467,06-083-2011,2019-01-03 19:00:00,2.0,41.2,0.9530792,1.321434,521.5495,288.4641,0.04378202
474,29-189-3001,2019-01-03 19:00:00,8.3,58.5,-0.35942078,1.383934,344.04947,277.6516,0.06813298
476,31-055-0019,2019-01-03 19:00:00,3.0,40.7,2.8280792,2.821434,281.54947,282.4016,0.15182015
477,32-031-0025,2019-01-03 19:00:00,7.0,43.5,-0.35942078,-2.678566,130.86198,277.7141,0.27087784
478,32-031-1005,2019-01-03 19:00:00,14.0,44.0,-0.7969208,-1.491066,107.424484,276.3391,0.37722063
482,35-001-0026,2019-01-03 19:00:00,4.7,48.4,-0.48442078,-1.866066,457.29947,270.3391,2.40806
496,44-007-0030,2019-01-03 19:00:00,7.0,57.9,4.453079,-2.053566,1246.6744,280.5891,2.1428194
497,44-009-0007,2019-01-03 19:00:00,3.0,54.9,4.140579,-2.366066,1249.6119,280.6516,0.6052412000000000
499,48-043-0101,2019-01-03 19:00:00,9.0,28.300001,4.265579,0.571434,501.23697,284.4016,0.017658684000000000
503,48-323-0004,2019-01-03 19:00:00,6.0,36.100002,3.3280792,-4.116066,524.6745,285.7141,0.0609664
504,48-479-0313,2019-01-03 19:00:00,3.0,35.600002,3.3905792,-5.303566,630.612,287.4016,0.110284805
510,06-019-0500,2019-01-03 20:00:00,8.0,52.5,2.4550753,0.054250717,230.13733,283.6437,0.03268538
513,06-073-1201,2019-01-03 20:00:00,5.0,14.7,1.8300753,-1.5707493,714.2623,291.2687,-0.02826908
514,06-079-2004,2019-01-03 20:00:00,21.0,45.600002,1.6425753,-0.8207493,397.82483,287.3937,-0.01771186
522,29-189-3001,2019-01-03 20:00:00,7.7,57.0,-0.41992474,1.4917507,343.38733,278.8937,0.037540164
523,32-031-0025,2019-01-03 20:00:00,10.0,34.5,-0.85742474,-2.9457493,145.38733,280.2687,0.22641422
525,32-031-1007,2019-01-03 20:00:00,3.0,43.3,-0.107424736,-1.3207493,133.26233,277.7687,0.09610577
526,32-510-0020,2019-01-03 20:00:00,3.0,32.0,0.14257526,-0.25824928,167.44983,280.6437,0.0967993
528,35-001-0026,2019-01-03 20:00:00,3.8,44.600002,-1.1074247,-1.6332493,493.63733,271.6437,1.3776137
542,44-007-0030,2019-01-03 20:00:00,8.0,55.0,4.2050753,-2.0707493,1234.3248,280.0812,0.13779522
543,44-009-0007,2019-01-03 20:00:00,4.0,52.5,3.8925753,-2.2582493,1256.7623,280.1437,2.3757718
545,48-043-0101,2019-01-03 20:00:00,7.0,29.1,6.8300753,-1.7582493,346.32483,285.2687,-0.027344361
548,48-273-0314,2019-01-03 20:00:00,2.0,77.700005,4.9550753,-3.6332493,327.19983,284.2687,0.81892854
549,48-479-0313,2019-01-03 20:00:00,4.0,30.1,3.3925753,-5.6957493,729.9498,289.2062,0.03815664
555,06-019-0500,2019-01-03 21:00:00,7.0,48.100002,2.5538712,-0.429348,265.46292,284.70264,0.021896984
557,06-071-0306,2019-01-03 21:00:00,2.0,16.0,-0.94612885,-2.179348,310.40042,283.20264,0.08562560400000000
558,06-073-1201,2019-01-03 21:00:00,4.0,16.6,1.3663712,-1.429348,755.6504,291.76514,-0.02464726
559,06-079-2004,2019-01-03 21:00:00,9.0,46.9,2.7413712,-2.116848,385.96292,287.39014,-0.03366328
567,29-189-3001,2019-01-03 21:00:00,11.6,61.7,-0.88362885,1.695652,187.46292,279.57764,-0.05
568,31-055-0019,2019-01-03 21:00:00,2.0,36.100002,3.0538712,2.508152,470.90042,284.20264,0.016502779
569,32-031-0025,2019-01-03 21:00:00,7.0,28.300001,-1.0086288,-3.179348,180.21292,282.45264,0.21608819
572,32-510-0020,2019-01-03 21:00:00,4.0,26.0,-0.82112885,-1.741848,202.77542,282.82764,0.029217679
574,35-001-0026,2019-01-03 21:00:00,4.2,42.7,-0.57112885,-2.741848,494.71292,272.95264,2.1271763
585,42-003-1376,2019-01-03 21:00:00,10.0,78.8,2.5538712,1.570652,700.2129,275.01514,1.2833693000000000
588,44-007-0030,2019-01-03 21:00:00,10.0,58.5,3.2413712,-1.679348,1194.6504,278.64014,-0.05
589,44-009-0007,2019-01-03 21:00:00,4.0,55.600002,3.1788712,-1.741848,1210.4004,278.64014,4.1064620000000000
591,48-043-0101,2019-01-03 21:00:00,7.0,28.1,6.928871,-2.679348,320.96292,285.57764,-0.04406638
592,48-135-1014,2019-01-03 21:00:00,4.0,22.1,6.428871,-1.741848,1270.0254,284.89014,0.14943129
594,48-273-0314,2019-01-03 21:00:00,5.0,67.1,3.4913712,-2.804348,628.5254,285.95264,1.0740743
596,48-323-0004,2019-01-03 21:00:00,3.0,26.1,2.9913712,-4.304348,775.4629,290.01514,-0.01732656
604,06-019-0500,2019-01-03 22:00:00,6.0,50.600002,2.7246637,-0.5404091,313.99094,285.82098,0.021896984
606,06-065-0010,2019-01-03 22:00:00,2.0,17.2,-3.7753363,-2.915409,248.42845,283.07098,-0.0080023
607,06-071-0306,2019-01-03 22:00:00,4.0,17.4,-0.40033627,-2.477909,328.17844,284.44598,0.048945043
608,06-073-1201,2019-01-03 22:00:00,4.0,16.5,2.4121637,-0.16540909,761.49097,292.13348,-0.0168642
609,06-079-2004,2019-01-03 22:00:00,7.0,43.600002,2.7246637,-1.7904091,284.99094,288.00848,-0.017018318
617,29-189-3001,2019-01-03 22:00:00,11.7,69.0,-0.52533627,1.6470909,237.61595,278.82098,-0.05
619,31-055-0019,2019-01-03 22:00:00,3.0,40.2,2.5371637,0.8345909,363.80344,283.19598,0.00787206
625,35-001-0023,2019-01-03 22:00:00,4.3,48.2,0.41216373,-1.8529091,394.36594,271.50848,0.7596694
626,35-001-0026,2019-01-03 22:00:00,3.7,42.4,0.34966373,-2.227909,543.86597,273.13348,0.5133086000000000
630,35-013-0016,2019-01-03 22:00:00,2.0,35.5,2.4746637,-0.10290909,910.05347,281.57098,0.08762917
643,48-135-1014,2019-01-03 22:00:00,4.0,24.9,6.0996637,-0.9154091,1279.741,285.07098,0.09849462
644,48-273-0314,2019-01-03 22:00:00,9.0,58.8,3.5371637,-3.227909,783.67847,287.94598,0.7198294
646,48-323-0004,2019-01-03 22:00:00,4.0,25.2,1.3496637,-3.977909,821.05347,290.32098,-0.009774681
647,48-479-0313,2019-01-03 22:00:00,5.0,25.7,2.4121637,-4.290409,776.92847,290.69598,0.0018613823
653,06-019-0500,2019-01-03 23:00:00,5.0,48.5,2.4424086,-0.7067604,340.35757,286.14597,0.024979379
654,06-037-9033,2019-01-03 23:00:00,3.0,21.6,-1.3700914,-1.8317604,302.54507,284.20847,0.056573983
656,06-065-0010,2019-01-03 23:00:00,3.0,18.300001,-3.3700914,-3.0817604,185.54506,282.64597,-0.01139294
