mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_samples,param_min_impurity_decrease,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,mean_test_max_error,std_test_max_error,rank_test_max_error,mean_test_neg_mean_absolute_percentage_error,std_test_neg_mean_absolute_percentage_error,rank_test_neg_mean_absolute_percentage_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,mean_test_explained_variance,std_test_explained_variance,rank_test_explained_variance,mean_test_r2,std_test_r2,rank_test_r2,test_set_r2,rank_test_set_r2,n_features,features
177.401298,4.111285736,2.436787343,0.112977935,0.39,0,2,5,140,"{'max_samples': 0.39, 'min_impurity_decrease': 0, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 140}",-27.38486843,6.193204626,15,-0.047052026,0.000492654,19,-0.215874491,0.00173045,22,-0.504200325,0.022726205,11,0.750800726,0.007233001,11,0.750770048,0.007225712,11,0.752396497,3,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
177.0015409,3.295230971,2.012973571,0.039222961,0.39,2.45E-07,2,5,140,"{'max_samples': 0.39, 'min_impurity_decrease': 2.45e-07, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 140}",-27.38951635,6.191735279,24,-0.047329764,0.000489622,31,-0.216861495,0.001716466,31,-0.504232377,0.022703116,12,0.750784621,0.007217289,12,0.750754124,0.007210145,12,0.752411336,2,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
175.3852964,3.648010303,2.030010939,0.044014328,0.39,6.00E-08,2,6,140,"{'max_samples': 0.39, 'min_impurity_decrease': 6e-08, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 140}",-27.38723755,6.189408859,18,-0.04723473,0.000485521,27,-0.216528678,0.001688085,27,-0.504556657,0.022781507,13,0.750624616,0.007235111,13,0.750594895,0.007227845,13,0.75231405,13,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
176.7077516,5.196547999,2.32821033,0.07286518,0.39,0,2,6,140,"{'max_samples': 0.39, 'min_impurity_decrease': 0, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 140}",-27.39073558,6.190964621,32,-0.047190367,0.000490731,25,-0.216377593,0.001688652,26,-0.504596676,0.022779696,14,0.750604977,0.007227279,14,0.750575265,0.007219902,14,0.752313753,14,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
175.5854755,3.043311932,1.979746127,0.055452418,0.39,2.45E-07,2,6,140,"{'max_samples': 0.39, 'min_impurity_decrease': 2.45e-07, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 140}",-27.38991083,6.189957106,29,-0.047459553,0.000486189,35,-0.217329134,0.001685657,35,-0.50463273,0.022755838,15,0.750586841,0.007220239,15,0.750557093,0.007213087,15,0.752284851,15,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
173.8159996,3.302107853,1.995533037,0.055895132,0.39,6.00E-08,2,7,140,"{'max_samples': 0.39, 'min_impurity_decrease': 6e-08, 'min_samples_leaf': 2, 'min_samples_split': 7, 'n_estimators': 140}",-27.39547189,6.192256022,61,-0.047430454,0.000487778,34,-0.217267097,0.001677157,34,-0.50526265,0.022778086,16,0.750274532,0.007215619,16,0.750246002,0.00720858,16,0.752039991,16,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
174.1978302,5.173416564,1.938637519,0.041100415,0.39,2.45E-07,2,7,140,"{'max_samples': 0.39, 'min_impurity_decrease': 2.45e-07, 'min_samples_leaf': 2, 'min_samples_split': 7, 'n_estimators': 140}",-27.39474813,6.192180759,52,-0.047648309,0.000488456,36,-0.218038394,0.001690062,36,-0.50528469,0.02275028,17,0.750263421,0.007203373,17,0.750234826,0.00719625,17,0.752028702,17,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
175.8933872,5.071509139,2.22068336,0.069031844,0.39,0,2,7,140,"{'max_samples': 0.39, 'min_impurity_decrease': 0, 'min_samples_leaf': 2, 'min_samples_split': 7, 'n_estimators': 140}",-27.39508542,6.191416654,60,-0.047381658,0.000488269,32,-0.217098939,0.001691209,33,-0.505329926,0.022771408,18,0.75024112,0.007217315,18,0.750212493,0.007210258,18,0.751997468,18,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
178.8386091,3.279950283,2.422073936,0.052244314,0.39,0,1,5,140,"{'max_samples': 0.39, 'min_impurity_decrease': 0, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 140}",-27.38266517,6.189654902,10,-0.046739218,0.000492631,7,-0.214412524,0.001818179,4,-0.506493297,0.022317183,19,0.749699585,0.007109458,19,0.749630165,0.00709848,19,0.751324561,25,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
176.6816521,1.778733775,2.112026978,0.052016873,0.39,6.00E-08,1,5,140,"{'max_samples': 0.39, 'min_impurity_decrease': 6e-08, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 140}",-27.38555779,6.188236271,16,-0.046806071,0.000487178,8,-0.214669741,0.001792229,8,-0.506569805,0.022304343,20,0.749662028,0.007082675,20,0.749592777,0.007071828,20,0.751241184,26,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
178.1226018,4.059281979,2.0238415,0.034341438,0.39,2.45E-07,1,5,140,"{'max_samples': 0.39, 'min_impurity_decrease': 2.45e-07, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 140}",-27.38594259,6.191319653,17,-0.047080992,0.00049423,21,-0.215645334,0.001848466,13,-0.506610383,0.022397826,21,0.749642752,0.007130408,21,0.749573365,0.007119357,21,0.751226156,27,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
178.4108411,3.612072607,2.373489237,0.048913492,0.39,0,1,6,140,"{'max_samples': 0.39, 'min_impurity_decrease': 0, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 140}",-27.38929143,6.194119472,23,-0.046890507,0.00049187,9,-0.214986067,0.00179828,9,-0.506705881,0.022503053,22,0.749592791,0.007153361,22,0.749527737,0.00714253,22,0.751366021,22,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
177.6823236,4.299365721,2.136539078,0.035978372,0.39,6.00E-08,1,4,140,"{'max_samples': 0.39, 'min_impurity_decrease': 6e-08, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 140}",-27.37859445,6.184416824,6,-0.046734494,0.000504526,6,-0.214418149,0.001866496,5,-0.506724541,0.022372058,23,0.749589383,0.0071591,23,0.749515336,0.007147531,23,0.750843326,47,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
176.8284478,4.244729011,2.035620499,0.035660103,0.39,6.00E-08,1,6,140,"{'max_samples': 0.39, 'min_impurity_decrease': 6e-08, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 140}",-27.38993179,6.19182371,30,-0.046963556,0.000490255,10,-0.215239904,0.001788498,10,-0.506745769,0.022456336,24,0.749572757,0.007135066,24,0.749507482,0.00712451,24,0.751469132,19,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
176.9729831,3.369948251,2.017565417,0.053041214,0.39,2.45E-07,1,6,140,"{'max_samples': 0.39, 'min_impurity_decrease': 2.45e-07, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 140}",-27.38754392,6.190403533,19,-0.04722299,0.000487931,26,-0.216166101,0.001810854,25,-0.506806849,0.022472601,25,0.7495425,0.007146485,25,0.749477333,0.00713529,25,0.751372979,20,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
177.1837483,3.906236639,2.076889753,0.043438576,0.39,2.45E-07,1,4,140,"{'max_samples': 0.39, 'min_impurity_decrease': 2.45e-07, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 140}",-27.37689286,6.186033266,4,-0.047011923,0.00049323,14,-0.215419652,0.001812278,11,-0.506879463,0.022243724,26,0.749512621,0.007088422,26,0.749438104,0.007075934,26,0.750747712,48,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
179.5393707,5.029747444,2.488914442,0.043604976,0.39,0,1,4,140,"{'max_samples': 0.39, 'min_impurity_decrease': 0, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 140}",-27.37807282,6.186221043,5,-0.046668841,0.000496235,2,-0.214191626,0.00183266,2,-0.506944936,0.022320277,27,0.749480712,0.007117372,27,0.749406448,0.007105669,27,0.750850356,46,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
176.4462484,6.57546037,2.039448643,0.04790065,0.39,6.00E-08,1,7,140,"{'max_samples': 0.39, 'min_impurity_decrease': 6e-08, 'min_samples_leaf': 1, 'min_samples_split': 7, 'n_estimators': 140}",-27.38993909,6.191136767,31,-0.047173842,0.000484582,24,-0.216039283,0.001778303,23,-0.507077146,0.022679334,28,0.749406631,0.007216104,28,0.749345986,0.007206251,28,0.751371182,21,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
177.8944365,2.397915185,2.348343801,0.082230565,0.39,0,1,7,140,"{'max_samples': 0.39, 'min_impurity_decrease': 0, 'min_samples_leaf': 1, 'min_samples_split': 7, 'n_estimators': 140}",-27.38985744,6.192816195,28,-0.047107842,0.000487936,23,-0.215792926,0.001783826,18,-0.507088252,0.022602887,29,0.749400147,0.007185404,29,0.749339677,0.007175346,29,0.751326562,24,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
175.453652,3.443835963,1.993223667,0.056397737,0.39,2.45E-07,1,7,140,"{'max_samples': 0.39, 'min_impurity_decrease': 2.45e-07, 'min_samples_leaf': 1, 'min_samples_split': 7, 'n_estimators': 140}",-27.39244115,6.193168807,33,-0.04742511,0.000486819,33,-0.216934622,0.001789494,32,-0.507122814,0.022557829,30,0.749383138,0.007157824,30,0.749322408,0.007147634,30,0.751358206,23,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
175.0099072,4.28678053,1.984940839,0.038115569,0.39,6.00E-08,3,2,140,"{'max_samples': 0.39, 'min_impurity_decrease': 6e-08, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 140}",-27.3948021,6.191627306,53,-0.04829458,0.000481984,42,-0.220915897,0.001626467,42,-0.507423367,0.022821984,31,0.749195816,0.00720817,34,0.749177694,0.007202338,31,0.751213814,33,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
173.8918694,3.900997889,2.005417109,0.063352928,0.39,6.00E-08,3,3,140,"{'max_samples': 0.39, 'min_impurity_decrease': 6e-08, 'min_samples_leaf': 3, 'min_samples_split': 3, 'n_estimators': 140}",-27.3948021,6.191627306,53,-0.04829458,0.000481984,42,-0.220915897,0.001626467,42,-0.507423367,0.022821984,31,0.749195816,0.00720817,34,0.749177694,0.007202338,31,0.751213814,33,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
179.3760695,6.109541459,2.047613573,0.100002759,0.39,6.00E-08,3,4,140,"{'max_samples': 0.39, 'min_impurity_decrease': 6e-08, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 140}",-27.3948021,6.191627306,53,-0.04829458,0.000481984,42,-0.220915897,0.001626467,42,-0.507423367,0.022821984,31,0.749195816,0.00720817,34,0.749177694,0.007202338,31,0.751213814,33,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
175.2930198,3.608931776,1.999462986,0.056013246,0.39,6.00E-08,3,5,140,"{'max_samples': 0.39, 'min_impurity_decrease': 6e-08, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 140}",-27.3948021,6.191627306,53,-0.04829458,0.000481984,42,-0.220915897,0.001626467,42,-0.507423367,0.022821984,31,0.749195816,0.00720817,34,0.749177694,0.007202338,31,0.751213814,33,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
174.3575322,3.690409652,1.991515589,0.046751542,0.39,6.00E-08,3,6,140,"{'max_samples': 0.39, 'min_impurity_decrease': 6e-08, 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 140}",-27.3948021,6.191627306,53,-0.04829458,0.000481984,42,-0.220915897,0.001626467,42,-0.507423367,0.022821984,31,0.749195816,0.00720817,34,0.749177694,0.007202338,31,0.751213814,33,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
175.0004487,3.886410454,2.274487877,0.102877766,0.39,0,3,2,140,"{'max_samples': 0.39, 'min_impurity_decrease': 0, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 140}",-27.39894463,6.196544471,68,-0.04825543,0.000479066,37,-0.220775126,0.001622304,37,-0.507424611,0.022861981,36,0.749195673,0.007226558,39,0.74917746,0.007220609,36,0.751215467,28,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
175.1417171,3.173468249,2.281116128,0.077743187,0.39,0,3,3,140,"{'max_samples': 0.39, 'min_impurity_decrease': 0, 'min_samples_leaf': 3, 'min_samples_split': 3, 'n_estimators': 140}",-27.39894463,6.196544471,68,-0.04825543,0.000479066,37,-0.220775126,0.001622304,37,-0.507424611,0.022861981,36,0.749195673,0.007226558,39,0.74917746,0.007220609,36,0.751215467,28,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
174.8241088,4.017889593,2.293054891,0.049638333,0.39,0,3,4,140,"{'max_samples': 0.39, 'min_impurity_decrease': 0, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 140}",-27.39894463,6.196544471,68,-0.04825543,0.000479066,37,-0.220775126,0.001622304,37,-0.507424611,0.022861981,36,0.749195673,0.007226558,39,0.74917746,0.007220609,36,0.751215467,28,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
175.2128665,3.358718929,2.264489055,0.054017102,0.39,0,3,5,140,"{'max_samples': 0.39, 'min_impurity_decrease': 0, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 140}",-27.39894463,6.196544471,68,-0.04825543,0.000479066,37,-0.220775126,0.001622304,37,-0.507424611,0.022861981,36,0.749195673,0.007226558,39,0.74917746,0.007220609,36,0.751215467,28,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
174.8280414,5.652573198,2.254188895,0.054174849,0.39,0,3,6,140,"{'max_samples': 0.39, 'min_impurity_decrease': 0, 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 140}",-27.39894463,6.196544471,68,-0.04825543,0.000479066,37,-0.220775126,0.001622304,37,-0.507424611,0.022861981,36,0.749195673,0.007226558,39,0.74917746,0.007220609,36,0.751215467,28,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
177.7158495,3.46063815,2.230597973,0.069814546,0.39,6.00E-08,1,3,140,"{'max_samples': 0.39, 'min_impurity_decrease': 6e-08, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 140}",-27.37429133,6.183828735,1,-0.04672385,0.000495431,4,-0.214438411,0.001793313,6,-0.507430441,0.022105088,41,0.749241458,0.007041627,31,0.749163545,0.007030352,41,0.750576256,49,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
174.7566138,3.937388421,1.92735095,0.04641561,0.39,2.45E-07,3,2,140,"{'max_samples': 0.39, 'min_impurity_decrease': 2.45e-07, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 140}",-27.398267,6.194661646,63,-0.048477329,0.000482478,49,-0.221565175,0.001635864,49,-0.507489341,0.022852303,42,0.749163501,0.007218821,44,0.74914545,0.007212983,42,0.751207405,38,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
