mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_features,param_max_samples,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,mean_test_r2,std_test_r2,rank_test_r2
33.615664744377135,0.4842426020258995,1.6052207469940185,0.08501956107093826,4,0.1,2,4,70,"{'max_features': 4, 'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 70}",-0.9036671791077676,0.002856475467665048,54,-1.837706291046194,0.03917475660136391,54,0.266920298882372,0.005272780453761828,54
45.09799652099609,1.6995227401434523,2.0317509889602663,0.18823123493207453,4,0.1,2,4,90,"{'max_features': 4, 'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 90}",-0.9017558190530159,0.002950415903844403,53,-1.8312386626176544,0.03941978556300531,53,0.2695025165896889,0.005403353751178146,53
51.80328807830811,0.7335527512844866,2.384933924674988,0.10058779305910637,4,0.1,2,4,110,"{'max_features': 4, 'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 110}",-0.9003849425024184,0.0028778594071408605,52,-1.8268746200333872,0.039101741576902216,52,0.27124273928519754,0.005235265821053798,52
60.9940660238266,1.0589429627804028,2.813247871398926,0.13163277108413357,4,0.1,2,4,130,"{'max_features': 4, 'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 130}",-0.8999189137265453,0.0026964916821081487,51,-1.8254690189716665,0.03888882631160163,51,0.2718027002833992,0.00513001638032136,51
70.831667137146,1.5301702874871188,3.355273652076721,0.12017247583518717,4,0.1,2,4,150,"{'max_features': 4, 'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 150}",-0.899822120073182,0.002696045043344926,50,-1.824557115272222,0.03918965027348505,50,0.27216905977258354,0.0051575902920234775,50
79.91321291923524,1.2281649071254113,3.698843550682068,0.1165779666847953,4,0.1,2,4,170,"{'max_features': 4, 'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 170}",-0.8991050197830373,0.0027892299179146512,49,-1.8225343851865339,0.039334863192641456,49,0.27297729697333356,0.005183513516796971,49
40.100894165039065,0.8741175691222417,1.5609972953796387,0.06822584906817718,5,0.1,2,4,70,"{'max_features': 5, 'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 70}",-0.8914675834128942,0.0032245048047331386,48,-1.8052096810558151,0.040439445213805006,48,0.2798954079279964,0.005939546975570166,48
51.28792264461517,1.1973707672966907,1.9930143356323242,0.148018998838473,5,0.1,2,4,90,"{'max_features': 5, 'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 90}",-0.8898198546626357,0.0033355456234145466,47,-1.7997893967633227,0.0408782712967604,47,0.2820612690475828,0.006069492170341238,47
62.82715187072754,1.072223354164225,2.4704914569854735,0.15623383522225068,5,0.1,2,4,110,"{'max_features': 5, 'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 110}",-0.8883151898017418,0.0032670077456544936,46,-1.7950124114478032,0.040716586508827333,46,0.2839660644866242,0.006073274545665206,46
76.66951684951782,3.4438672140043547,2.8558730840682984,0.10724484362217919,5,0.1,2,4,130,"{'max_features': 5, 'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 130}",-0.888114919284033,0.0034789433115374447,45,-1.7936645571000838,0.04119139317487681,45,0.2845084916666799,0.006044682206626202,45
84.74066469669341,1.3267183074913127,3.2398201704025267,0.10894987250770799,5,0.1,2,4,150,"{'max_features': 5, 'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 150}",-0.8875133429140298,0.0033493797249929107,44,-1.7917361758755075,0.04079811316232678,44,0.2852753529275766,0.0059344237257699635,44
95.70561661720276,1.7856534390431962,3.60207941532135,0.08659281267370077,5,0.1,2,4,170,"{'max_features': 5, 'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 170}",-0.8869651955653787,0.003355537743482163,43,-1.7901421817723897,0.040593109197259246,43,0.28591076820825867,0.0057981435671666465,43
47.340043020248416,0.9266619703689671,1.4984394311904907,0.07481514422144064,6,0.1,2,4,70,"{'max_features': 6, 'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 70}",-0.8830310866488172,0.0035382631171497346,42,-1.7825179622923635,0.04138135933872063,42,0.28895856457319175,0.0059670299887691096,42
59.936291217803955,1.4272153733708786,1.916435217857361,0.06905234312724395,6,0.1,2,4,90,"{'max_features': 6, 'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 90}",-0.8817965912200622,0.003597890740540724,41,-1.7784064381243851,0.04229875287173897,41,0.29060503252370873,0.0063082240864595455,41
73.23361961841583,1.5274595484771887,2.308901071548462,0.05281820298244238,6,0.1,2,4,110,"{'max_features': 6, 'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 110}",-0.8804517892635081,0.0036033441281743393,40,-1.7741896340855678,0.04240724023603567,40,0.29228853944884126,0.00638807463830174,40
