name,importance
GEOID,0.2786099489758434
months_from_start,0.18495943228642564
month,0.1472985895755316
NPP_g_m-2_1m_lag,0.13436507792237076
STATEFP,0.13163845801930943
popuDensity_ALAND_km2,0.12312849322051915
