GEOID,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
01099,29802,28951,28463,29027,30228,30964,32163,32367,34072,30920,31744,31072,36221,32696,34733,35163,36639,36432,39556,40005
01101,36918,35923,35406,35592,35680,39749,40922,41199,43297,41084,41556,42962,41430,44013,43054,42666,45111,45833,49640,52711
01103,39515,38932,38979,39965,40978,41339,40681,43619,46284,40317,44859,43615,44766,44079,45082,47234,46843,49274,52797,54355
01105,20969,20073,19876,20630,21640,22109,22637,24132,26513,24351,24742,22175,25215,25461,27403,26218,25221,26703,26814,29572
01107,27065,26521,26200,26895,27737,28578,29737,31497,31053,29677,31032,31079,31433,32314,31933,33160,35968,38379,37586,40249
01109,26317,25621,25630,26615,28077,27581,29269,25817,32284,31229,32771,32345,32411,35944,31844,34442,35172,40680,37259,41271
01111,29048,28276,28546,29435,30973,32974,32984,34352,34185,33869,32584,34517,35024,35121,36939,37333,40283,41112,40546,42922
01113,28641,28042,27981,28547,29680,30155,30627,33546,28855,33537,32733,32632,34310,35762,35585,36124,38617,36186,39104,43670
01115,37513,36820,37381,38713,41086,45416,45549,50046,48804,45601,48296,48040,50989,52437,50571,53558,57856,52755,57284,65403
01117,59451,59840,61393,60894,61972,61563,66476,67031,71785,65408,67135,66362,67244,68718,69432,70879,74212,74098,75663,77801
01119,20582,19769,19820,20627,21189,21252,23130,23439,24221,22857,25586,23531,24059,24504,25413,25931,26814,26495,27859,29209
01121,31457,30609,31367,33191,34418,33986,35524,38644,35487,37260,35646,33856,34785,38505,39999,37911,40555,41733,41630,47719
01123,30941,30052,29994,30626,31464,32672,32939,35801,35293,35702,34440,37686,36463,37747,36779,39051,40169,44469,42205,47100
01125,34294,33614,33598,35268,36598,34459,37952,41543,43744,41842,43098,42086,41495,45959,46892,47868,47483,51644,52557,52307
01127,30313,29487,29945,31298,32634,33666,35123,35497,36221,36582,36044,35423,36600,37193,37245,37305,39511,41925,45434,45991
01129,31797,30784,30541,31198,32147,33001,33896,35810,37076,36946,37639,39203,39173,41115,41321,42658,37575,44249,44424,48864
01131,18813,18264,18455,19633,19682,19407,19949,21325,23090,22611,21611,20990,22126,23184,24035,23014,24216,25700,25385,30998
01133,28366,27553,26918,27430,28764,29320,31869,32986,32018,31062,32574,31018,32663,33578,35528,36497,38644,38562,41156,40827
04001,24244,23509,24232,25558,26592,26308,27600,29976,31728,28956,30651,30837,32886,30252,32366,31072,34040,33053,33652,35386
04003,32903,32209,33300,34801,36585,36296,38825,42995,44000,43786,43677,41237,43017,45294,45025,43451,45151,48966,49164,48650
04005,38249,37607,37923,39034,40040,41446,43683,48549,47933,49777,43051,45051,45509,48732,48653,51955,53643,54399,60187,58301
04007,31295,30198,30560,31780,33412,33862,35716,34761,38405,36764,37430,35898,38267,39868,37677,41346,40747,38897,43585,45980
04009,29860,28575,28683,30040,31387,33558,34618,38798,40902,40609,39299,40548,41080,43497,46046,44169,46714,46378,50157,50685
04011,41181,40245,40471,41032,43095,43338,46728,50195,53654,56855,49592,51145,53312,54673,59416,58854,61110,63557,65818,68066
04012,25986,24851,25187,25807,26722,29015,29534,29912,32973,30939,33818,30679,35236,33994,32533,34835,34285,36389,37350,39407
04013,47024,45921,46038,46376,48304,48752,52522,54733,56511,53284,50424,50785,51442,52066,53929,56017,58742,62221,65234,68634
04015,31515,30425,31030,32505,34126,35320,36320,39669,38641,39863,36446,35998,34966,38560,37704,40360,42003,42210,45129,49712
