vars,AQI,AQI_1m_lag,AQI_2m_lag,BB_g_m-2,BB_g_m-2_1m_lag,BB_g_m-2_2m_lag,C_g_m-2,C_g_m-2_1m_lag,C_g_m-2_2m_lag,DM_kg_m-2,DM_kg_m-2_1m_lag,DM_kg_m-2_2m_lag,NPP_g_m-2,NPP_g_m-2_1m_lag,NPP_g_m-2_2m_lag,PDSI,PDSI_1m_lag,PDSI_2m_lag,Rh_g_m-2,Rh_g_m-2_1m_lag,Rh_g_m-2_2m_lag,SP01,SP01_1m_lag,SP01_2m_lag,burned_frac,burned_frac_1m_lag,burned_frac_2m_lag,pm25_ug_m-3,pm25_ug_m-3_1m_lag,pm25_ug_m-3_2m_lag,precip_in,precip_in_1m_lag,precip_in_2m_lag,smallf_frac,smallf_frac_1m_lag,smallf_frac_2m_lag,temp_F,temp_F_1m_lag,temp_F_2m_lag,ALAND_ATOTAL_ratio,mortalityRate,median_inc,month,months_from_start,popuDensity_ALAND_km2,popuDensity_ATOTAL_km2
DM_kg_m-2_1m_lag,0.153387731,0.18147962,0.118220051,0.468217515,0.999999448,0.470278753,0.468217515,0.999999448,0.470278753,0.468160496,1,0.470217485,0.289857171,0.266678328,0.196074732,-0.145200264,-0.160127012,-0.136664714,0.29161187,0.251422948,0.197201338,-0.014740523,-0.102258346,-0.062352686,0.458043723,0.98829674,0.462249778,0.126953098,0.164838867,0.145740425,0.119060236,0.033456582,0.035942906,0.454550483,0.941715085,0.445069477,0.328372802,0.312025935,0.237953404,-0.069051766,-0.09668782,-0.109178714,0.095238217,0.036977665,0.03747902,0.043964815
DM_kg_m-2_2m_lag,0.104551801,0.153680009,0.179963334,0.332306259,0.470274941,0.999999448,0.332306259,0.470274941,0.999999448,0.332224763,0.470217485,1,0.26264091,0.290699866,0.266100611,-0.135606461,-0.145846419,-0.160250219,0.296743707,0.291698428,0.25130026,-0.018230752,-0.017045936,-0.102513052,0.321258958,0.460120676,0.98828305,0.1060263,0.128569678,0.164017042,0.122553481,0.117173674,0.033674038,0.329332424,0.456697132,0.941378488,0.316165197,0.329191551,0.311586625,-0.068928083,-0.102307909,-0.110410393,0.146966149,0.036066658,0.037521036,0.043997199
NPP_g_m-2,0.488052125,0.502590522,0.386291194,0.269653023,0.289888591,0.262657878,0.269653023,0.289888591,0.262657878,0.269609009,0.289857171,0.26264091,1,0.851426512,0.516527108,-0.025089787,-0.02619859,-0.036991427,0.867216276,0.712141065,0.426576389,-0.003890872,0.021238986,-0.006741773,0.246598797,0.271703776,0.249656996,0.366494287,0.327840685,0.244753768,0.338380364,0.375903059,0.315170737,0.263872906,0.295925824,0.276707886,0.869106988,0.695547679,0.364785314,-0.091489299,-0.291531678,-0.072027278,0.088856215,-0.004537737,0.146588042,0.149156071
NPP_g_m-2_1m_lag,0.332643234,0.486962293,0.503970811,0.199376946,0.266722468,0.290730645,0.199376946,0.266722468,0.290730645,0.199322461,0.266678328,0.290699866,0.851426512,1,0.852177713,-0.00965156,-0.022025183,-0.023524307,0.819945426,0.867529159,0.713975464,0.020002359,-0.003349347,0.019649227,0.173691348,0.243532305,0.272400543,0.33442184,0.360761161,0.325160346,0.289683195,0.339819125,0.374893989,0.182508395,0.25908012,0.294636947,0.81856938,0.868949795,0.697405647,-0.091644707,-0.368663968,-0.072559011,0.423141292,0.013444836,0.146974242,0.149554415
NPP_g_m-2_2m_lag,0.111531418,0.332658678,0.488576524,0.123128129,0.19612851,0.266143848,0.123128129,0.19612851,0.266143848,0.123068486,0.196074732,0.266100611,0.516527108,0.852177713,1,0.002249438,-0.005127356,-0.017548188,0.620593774,0.81985347,0.868019872,0.01940468,0.019984744,-0.003303174,0.098539138,0.170416732,0.242947325,0.254814901,0.328677402,0.357272935,0.198016753,0.290811166,0.339607105,0.102982526,0.177177802,0.256138091,0.582631369,0.819023327,0.86956714,-0.091354229,-0.334444484,-0.071620898,0.646538076,0.028983607,0.146682132,0.149254248
PDSI,-0.117567007,-0.087282828,-0.055499944,-0.158817289,-0.145277956,-0.135684415,-0.158817289,-0.145277956,-0.135684415,-0.158745205,-0.145200264,-0.135606461,-0.025089787,-0.00965156,0.002249438,1,0.900731002,0.805825103,0.049272685,0.057065833,0.061763597,0.482004266,0.408622864,0.360589487,-0.15446961,-0.142059684,-0.133780434,-0.028997146,-0.013473861,0.003898729,0.341037559,0.296008124,0.264602049,-0.152872466,-0.140056054,-0.133424737,-0.092373627,-0.072727433,-0.055313921,-0.014692249,0.105008194,0.092512028,0.035556407,0.098680663,0.041380083,0.041390847
PDSI_1m_lag,-0.09269943,-0.116360009,-0.082320285,-0.135619896,-0.160199789,-0.145923539,-0.135619896,-0.160199789,-0.145923539,-0.135548691,-0.160127012,-0.145846419,-0.02619859,-0.022025183,-0.005127356,0.900731002,1,0.901128762,0.03484677,0.052188791,0.060072509,0.186510033,0.481739436,0.408142174,-0.131464671,-0.155901602,-0.142833236,-0.002256917,-0.031506624,-0.012206999,0.140841493,0.344238475,0.296824067,-0.134772556,-0.155581923,-0.142156839,-0.0951854,-0.089491731,-0.068558384,-0.01573554,0.118485298,0.095298492,0.011662516,0.105823836,0.042667895,0.042632747
PDSI_2m_lag,-0.079446466,-0.09185322,-0.111368088,-0.120575593,-0.13673625,-0.160322139,-0.120575593,-0.13673625,-0.160322139,-0.1205049,-0.136664714,-0.160250219,-0.036991427,-0.023524307,-0.017548188,0.805825103,0.901128762,1,0.020710554,0.037629886,0.05506305,0.143032866,0.186919901,0.481061754,-0.116540892,-0.132657468,-0.156185562,0.000139274,-0.004980637,-0.030451544,0.113376123,0.144451355,0.344823234,-0.123548436,-0.137180667,-0.15702374,-0.096802487,-0.092584089,-0.085275921,-0.016661321,0.126350944,0.097793688,0.001328329,0.114013625,0.043804255,0.043722932
Rh_g_m-2,0.396348417,0.443929944,0.385445891,0.253690962,0.291637272,0.296758994,0.253690962,0.291637272,0.296758994,0.253651722,0.29161187,0.296743707,0.867216276,0.819945426,0.620593774,0.049272685,0.03484677,0.020710554,1,0.903446378,0.693805304,0.055509371,0.035158997,0.010332648,0.214036829,0.255151208,0.264545643,0.469837093,0.458105632,0.404254331,0.489880611,0.502431501,0.455953017,0.250659768,0.296398303,0.306453325,0.752901522,0.656873415,0.430251398,-0.203548799,-0.221894955,-0.092264565,0.157348269,0.00651355,0.292323528,0.297791922
Rh_g_m-2_1m_lag,0.259849826,0.395672651,0.444447834,0.199048478,0.25146185,0.291723374,0.199048478,0.25146185,0.291723374,0.199003119,0.251422948,0.291698428,0.712141065,0.867529159,0.81985347,0.057065833,0.052188791,0.037629886,0.903446378,1,0.904112578,0.026152321,0.055241669,0.035215509,0.158287146,0.211462079,0.255038034,0.431296384,0.465803456,0.455403617,0.393372218,0.490265879,0.502476274,0.187803562,0.246737754,0.294661854,0.65544677,0.752774386,0.657599923,-0.203594634,-0.257380089,-0.092335248,0.381550594,0.01896348,0.292417283,0.297879037
