vars,AQI,AQI_1m_lag,AQI_2m_lag,BB_g_m-2,BB_g_m-2_1m_lag,BB_g_m-2_2m_lag,C_g_m-2,C_g_m-2_1m_lag,C_g_m-2_2m_lag,DM_kg_m-2,DM_kg_m-2_1m_lag,DM_kg_m-2_2m_lag,NPP_g_m-2,NPP_g_m-2_1m_lag,NPP_g_m-2_2m_lag,PDSI,PDSI_1m_lag,PDSI_2m_lag,Rh_g_m-2,Rh_g_m-2_1m_lag,Rh_g_m-2_2m_lag,SP01,SP01_1m_lag,SP01_2m_lag,burned_frac,burned_frac_1m_lag,burned_frac_2m_lag,pm25_ug_m-3,pm25_ug_m-3_1m_lag,pm25_ug_m-3_2m_lag,precip_in,precip_in_1m_lag,precip_in_2m_lag,smallf_frac,smallf_frac_1m_lag,smallf_frac_2m_lag,temp_F,temp_F_1m_lag,temp_F_2m_lag,ALAND_ATOTAL_ratio,mortalityRate,median_inc,month,months_from_start,popuDensity_ALAND_km2,popuDensity_ATOTAL_km2
precip_in,0.120044356,0.203241473,0.179369237,0.035438885,0.11907794,0.122579731,0.035438885,0.11907794,0.122579731,0.035411785,0.119060236,0.122553481,0.338380364,0.289683195,0.198016753,0.341037559,0.140841493,0.113376123,0.489880611,0.393372218,0.301913837,0.650196217,0.037714728,0.047510006,0.011597873,0.093923432,0.097496556,0.220205426,0.29048819,0.284290271,1,0.435628114,0.361880823,0.05641597,0.131250169,0.126925324,0.261330612,0.206746008,0.110313105,-0.159000522,0.002237718,-0.053561932,0.034914621,0.018812697,0.277977401,0.276850389
precip_in_1m_lag,0.143584926,0.120711006,0.204049447,0.036512319,0.033482414,0.11718981,0.036512319,0.033482414,0.11718981,0.036472967,0.033456582,0.117173674,0.375903059,0.339819125,0.290811166,0.296008124,0.344238475,0.144451355,0.502431501,0.490265879,0.394502621,0.037693491,0.6502998,0.03991999,0.009526478,0.009436923,0.092097841,0.276322307,0.2183738,0.288591445,0.435628114,1,0.436916399,0.048487548,0.053706603,0.128327082,0.273387658,0.26204461,0.208165324,-0.158598081,-0.021867317,-0.051836533,0.059285794,0.023244104,0.277854281,0.276764391
precip_in_2m_lag,0.10736426,0.1417307,0.121395154,0.02205364,0.035983134,0.033700305,0.02205364,0.035983134,0.033700305,0.022002917,0.035942906,0.033674038,0.315170737,0.374893989,0.339607105,0.264602049,0.296824067,0.344823234,0.455953017,0.502476274,0.490911427,0.051267064,0.037444819,0.650399784,-0.007880401,0.008526962,0.009387016,0.292682881,0.273671347,0.217047341,0.361880823,0.436916399,1,0.023320826,0.047204318,0.053082702,0.2423955,0.2720811,0.262450158,-0.159074039,-0.033236325,-0.050431009,0.12881753,0.03166986,0.278912771,0.277820994
smallf_frac,0.194906355,0.129676991,0.069067013,0.942223134,0.454612227,0.329421635,0.942223134,0.454612227,0.329421635,0.94220765,0.454550483,0.329332424,0.263872906,0.182508395,0.102982526,-0.152872466,-0.134772556,-0.123548436,0.250659768,0.187803562,0.129348503,-0.086904703,-0.051337478,-0.055903898,0.939241187,0.451425943,0.32448932,0.168609695,0.155891518,0.137153245,0.05641597,0.048487548,0.023320826,1,0.459887163,0.337993492,0.310031835,0.229583399,0.141146001,-0.060026076,-0.06012351,-0.111542734,-0.050286205,0.01428863,0.046842903,0.053948157
smallf_frac_1m_lag,0.171416712,0.191420036,0.124414088,0.442754354,0.94173121,0.456758793,0.442754354,0.94173121,0.456758793,0.442692099,0.941715085,0.456697132,0.295925824,0.25908012,0.177177802,-0.140056054,-0.155581923,-0.137180667,0.296398303,0.246737754,0.184102396,-0.012758104,-0.088674652,-0.052809244,0.437059153,0.938761573,0.453522946,0.13715013,0.169734268,0.154339527,0.131250169,0.053706603,0.047204318,0.459887163,1,0.463263296,0.333656548,0.305467214,0.224920545,-0.059400883,-0.099240773,-0.11504633,0.07466797,0.012262916,0.046511895,0.053657972
smallf_frac_2m_lag,0.130220492,0.170311096,0.187936267,0.322659365,0.445133002,0.941395095,0.322659365,0.445133002,0.941395095,0.322574271,0.445069477,0.941378488,0.276707886,0.294636947,0.256138091,-0.133424737,-0.142156839,-0.15702374,0.306453325,0.294661854,0.244592697,-0.021655152,-0.015552723,-0.089456358,0.315835642,0.439533227,0.938418522,0.12194961,0.139218363,0.168728782,0.126925324,0.128327082,0.053082702,0.337993492,0.463263296,1,0.333474814,0.33244836,0.302726091,-0.05889471,-0.107946358,-0.117092198,0.12314349,0.00908699,0.04626953,0.053422125
temp_F,0.489274868,0.530816861,0.452233299,0.31493371,0.328418194,0.316209459,0.31493371,0.328418194,0.316209459,0.314889743,0.328372802,0.316165197,0.869106988,0.81856938,0.582631369,-0.092373627,-0.0951854,-0.096802487,0.752901522,0.65544677,0.428795093,-0.010598384,-0.028139379,-0.03045134,0.310924056,0.327995199,0.320354658,0.394752744,0.370878115,0.291436912,0.261330612,0.273387658,0.2423955,0.310031835,0.333656548,0.333474814,1,0.86749715,0.575600738,-0.037536571,-0.363651211,-0.111516632,0.18137454,0.005954619,0.085611687,0.087432456
temp_F_1m_lag,0.30767517,0.488442296,0.531833253,0.240694542,0.31206984,0.329236266,0.240694542,0.31206984,0.329236266,0.240644648,0.312025935,0.329191551,0.695547679,0.868949795,0.819023327,-0.072727433,-0.089491731,-0.092584089,0.656873415,0.752774386,0.656916726,0.013502219,-0.010195688,-0.029800978,0.234824817,0.308099583,0.328776221,0.315173798,0.389314029,0.367960384,0.206746008,0.26204461,0.2720811,0.229583399,0.305467214,0.33244836,0.86749715,1,0.868669507,-0.03730665,-0.41114636,-0.111965743,0.494105475,0.022595735,0.085496642,0.087340975
temp_F_2m_lag,0.070066185,0.308516515,0.490209597,0.152730638,0.238002607,0.311629954,0.152730638,0.238002607,0.311629954,0.152673354,0.237953404,0.311586625,0.364785314,0.697405647,0.86956714,-0.055313921,-0.068558384,-0.085275921,0.430251398,0.657599923,0.753733821,0.013574482,0.013060765,-0.010203148,0.146885348,0.232183696,0.307647232,0.205526457,0.310193739,0.386047477,0.110313105,0.208165324,0.262450158,0.141146001,0.224920545,0.302726091,0.575600738,0.868669507,1,-0.037105926,-0.348265218,-0.111157356,0.684398244,0.035980033,0.085349204,0.087191485
ALAND_ATOTAL_ratio,0.032927579,0.032924685,0.032747446,-0.06937285,-0.069072846,-0.068949258,-0.06937285,-0.069072846,-0.068949258,-0.069351522,-0.069051766,-0.068928083,-0.091489299,-0.091644707,-0.091354229,-0.014692249,-0.01573554,-0.016661321,-0.203548799,-0.203594634,-0.203346051,-0.006606363,-0.006362982,-0.007307166,-0.051362832,-0.050882931,-0.050677949,-0.145188106,-0.145665621,-0.145972131,-0.159000522,-0.158598081,-0.159074039,-0.060026076,-0.059400883,-0.05889471,-0.037536571,-0.03730665,-0.037105926,1,0.095978595,-0.149479026,-9.59E-05,0.000127972,-0.396649479,-0.34984124
mortalityRate,-0.160221683,-0.235670475,-0.253932133,-0.060646812,-0.096707074,-0.102329302,-0.060646812,-0.096707074,-0.102329302,-0.060623956,-0.09668782,-0.102307909,-0.291531678,-0.368663968,-0.334444484,0.105008194,0.118485298,0.126350944,-0.221894955,-0.257380089,-0.207900351,0.00725933,0.020524845,0.022937371,-0.056090527,-0.09390142,-0.101855267,-0.129434506,-0.155797263,-0.147346335,0.002237718,-0.021867317,-0.033236325,-0.06012351,-0.099240773,-0.107946358,-0.363651211,-0.41114636,-0.348265218,0.095978595,1,-0.031507038,-0.260693467,0.256037358,-0.061936181,-0.054325056
median_inc,-0.059446548,-0.060193156,-0.059334813,-0.106596119,-0.109250343,-0.110482151,-0.106596119,-0.109250343,-0.110482151,-0.106525347,-0.109178714,-0.110410393,-0.072027278,-0.072559011,-0.071620898,0.092512028,0.095298492,0.097793688,-0.092264565,-0.092335248,-0.091562655,0.032051208,0.032976607,0.03487387,-0.095779211,-0.098438469,-0.099742159,-0.099308853,-0.10137959,-0.101276094,-0.053561932,-0.051836533,-0.050431009,-0.111542734,-0.11504633,-0.117092198,-0.111516632,-0.111965743,-0.111157356,-0.149479026,-0.031507038,1,-0.008092936,0.406751228,0.364392861,0.355210533
month,-0.090040578,0.128845466,0.32229931,-0.037705521,0.095212621,0.146939261,-0.037705521,0.095212621,0.146939261,-0.037694741,0.095238217,0.146966149,0.088856215,0.423141292,0.646538076,0.035556407,0.011662516,0.001328329,0.157348269,0.381550594,0.522792106,0.078764034,0.025165071,0.031893637,-0.045123579,0.087699674,0.142122266,-0.02936521,0.091486369,0.174533943,0.034914621,0.059285794,0.12881753,-0.050286205,0.07466797,0.12314349,0.18137454,0.494105475,0.684398244,-9.59E-05,-0.260693467,-0.008092936,1,0.035036982,0.000295682,0.000295733
months_from_start,-0.088968472,-0.077651142,-0.065657655,0.036310886,0.036977991,0.036066565,0.036310886,0.036977991,0.036066565,0.036307701,0.036977665,0.036066658,-0.004537737,0.013444836,0.028983607,0.098680663,0.105823836,0.114013625,0.00651355,0.01896348,0.03008072,0.040684302,0.037963791,0.043725416,0.035889475,0.036562597,0.035759099,-0.261032551,-0.258441279,-0.256258062,0.018812697,0.023244104,0.03166986,0.01428863,0.012262916,0.00908699,0.005954619,0.022595735,0.035980033,0.000127972,0.256037358,0.406751228,0.035036982,1,0.008849826,0.008956761
popuDensity_ALAND_km2,0.104036978,0.104051626,0.10368949,0.037574762,0.037493942,0.037535515,0.037574762,0.037493942,0.037535515,0.037559858,0.03747902,0.037521036,0.146588042,0.146974242,0.146682132,0.041380083,0.042667895,0.043804255,0.292323528,0.292417283,0.292340739,0.014408984,0.014371538,0.016200929,0.015983021,0.015621174,0.015586555,0.416817292,0.41687609,0.417017995,0.277977401,0.277854281,0.278912771,0.046842903,0.046511895,0.04626953,0.085611687,0.085496642,0.085349204,-0.396649479,-0.061936181,0.364392861,0.000295682,0.008849826,1,0.992414267
popuDensity_ATOTAL_km2,0.111231184,0.11123977,0.110851096,0.044033948,0.043978554,0.044010473,0.044033948,0.043978554,0.044010473,0.044020209,0.043964815,0.043997199,0.149156071,0.149554415,0.149254248,0.041390847,0.042632747,0.043722932,0.297791922,0.297879037,0.297781108,0.013886035,0.013898617,0.015692857,0.022672307,0.022337273,0.022294919,0.423767861,0.423840229,0.423983021,0.276850389,0.276764391,0.277820994,0.053948157,0.053657972,0.053422125,0.087432456,0.087340975,0.087191485,-0.34984124,-0.054325056,0.355210533,0.000295733,0.008956761,0.992414267,1
