vars,AQI,AQI_1m_lag,AQI_2m_lag,BB_g_m-2,BB_g_m-2_1m_lag,BB_g_m-2_2m_lag,C_g_m-2,C_g_m-2_1m_lag,C_g_m-2_2m_lag,DM_kg_m-2,DM_kg_m-2_1m_lag,DM_kg_m-2_2m_lag,NPP_g_m-2,NPP_g_m-2_1m_lag,NPP_g_m-2_2m_lag,PDSI,PDSI_1m_lag,PDSI_2m_lag,Rh_g_m-2,Rh_g_m-2_1m_lag,Rh_g_m-2_2m_lag,SP01,SP01_1m_lag,SP01_2m_lag,burned_frac,burned_frac_1m_lag,burned_frac_2m_lag,pm25_ug_m-3,pm25_ug_m-3_1m_lag,pm25_ug_m-3_2m_lag,precip_in,precip_in_1m_lag,precip_in_2m_lag,smallf_frac,smallf_frac_1m_lag,smallf_frac_2m_lag,temp_F,temp_F_1m_lag,temp_F_2m_lag,ALAND_ATOTAL_ratio,deathRate,median_inc,month,months_from_start,popuDensity_ALAND_km2,popuDensity_ATOTAL_km2
DM_kg_m-2_2m_lag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7768252285310963e-47,1.4777949454181454e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.425703144032726e-157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1902922024793111e-179,2.851294668543292e-194,2.126328665835802e-266
NPP_g_m-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.264119091223776e-88,1.0564103175143188e-95,7.015142695135155e-189,0.0,0.0,0.0,0.002054612646712104,1.5561828967109443e-63,9.261213993051885e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000324824535274184,0.0,0.0
NPP_g_m-2_1m_lag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0764965990126664e-14,3.4614735104844965e-68,1.589323000694265e-77,0.0,0.0,0.0,1.4805796382957863e-56,0.007972289555327243,1.2214619539118657e-54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7249784836956877e-26,0.0,0.0
NPP_g_m-2_2m_lag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07476109121500944,4.87092427035847e-05,6.149173602598522e-44,0.0,0.0,0.0,2.4784064292669875e-53,1.8485562339819014e-56,0.008879362583893349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0530039007430955e-116,0.0,0.0
PDSI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.264119091224313e-88,2.0764965990126664e-14,0.07476109121500944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.22567828737961e-117,1.3470248515271223e-26,0.002012061070143276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.601247982461809e-31,0.0,0.0,1.1698692004921043e-174,0.0,7.199292340646296e-236,5.439611276836839e-236
PDSI_1m_lag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0564103175142591e-95,3.4614735104844965e-68,4.87092427035847e-05,0.0,0.0,0.0,7.820328602758481e-168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07379989560966774,1.4815284904551244e-137,4.0315312244213014e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.145605739619201e-35,0.0,0.0,2.4894098746577126e-20,0.0,1.1716916747687592e-250,3.009326536064185e-250
PDSI_2m_lag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.015142695133958e-189,1.589323000694265e-77,6.149173602598522e-44,0.0,0.0,0.0,1.678480403823856e-60,2.1753843975449935e-195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9121495260750802,7.963103503825773e-05,1.2641347260413627e-128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.841030738066652e-40,0.0,0.0,0.2926821838592163,0.0,4.389660770419698e-264,4.121288329075463e-263
Rh_g_m-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.820328602758481e-168,1.678480403823856e-60,0.0,0.0,0.0,0.0,8.0772104807985515e-171,2.714572749559437e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4713802815252874e-07,0.0,0.0
Rh_g_m-2_1m_lag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1753843975449935e-195,0.0,0.0,0.0,2.2640776970147776e-95,0.0,2.3119090068721274e-171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.147893812006792e-51,0.0,0.0
Rh_g_m-2_2m_lag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.562883822398543e-79,1.1229485550351082e-91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4744132692186212e-125,0.0,0.0
